Crop,N,P,K,Temperature,Humidity,Moisture,Soil_Type,Fertilizer
Sugarcane,60,18,79,36.3,86.1,55.9,Black,Compost
Tomato,65,21,45,31.8,89.7,71.6,Clay,Organic
Millet,43,30,33,21.3,88.2,76.8,Loamy,SSP
Rice,70,60,52,30.3,81.9,79.0,Sandy,Urea
Rice,125,75,68,34.8,43.0,25.9,Red,Urea
Millet,67,31,56,33.7,76.8,82.3,Clay,SSP
Millet,77,19,77,33.1,57.9,48.7,Black,SSP
Millet,98,78,78,33.8,88.8,66.7,Loamy,SSP
Sugarcane,82,36,18,20.7,49.5,68.7,Loamy,Compost
Rice,21,74,64,31.6,52.7,50.2,Loamy,Urea
Rice,96,19,37,18.2,77.7,41.9,Red,Urea
Tomato,117,58,28,28.9,54.5,44.0,Clay,Organic
Wheat,108,34,14,17.4,82.1,83.4,Loamy,DAP
Cotton,59,67,12,36.5,59.1,66.9,Red,DAP
Cotton,108,69,71,20.2,30.5,71.1,Black,MOP
Maize,123,37,19,35.6,69.5,67.8,Clay,Compost
Tomato,140,67,19,22.6,67.8,53.2,Black,NPK
Cotton,84,31,29,16.2,80.8,73.7,Sandy,MOP
Wheat,38,30,60,38.3,46.8,59.2,Red,DAP
Cotton,126,78,31,27.2,54.0,85.3,Loamy,SSP
Wheat,124,67,55,26.4,44.0,72.8,Black,DAP
Sugarcane,115,73,24,16.9,67.1,53.9,Red,Compost
Tomato,95,52,28,15.5,68.6,79.2,Loamy,Organic
Maize,22,54,79,24.5,41.6,24.3,Sandy,NPK
Sugarcane,27,13,14,37.6,34.1,87.4,Black,DAP
Sugarcane,62,46,73,33.3,86.7,70.2,Sandy,Compost
Wheat,107,11,51,27.0,83.2,79.2,Loamy,DAP
Tomato,89,33,79,36.0,78.1,82.8,Black,Organic
Maize,79,22,16,21.3,68.7,74.3,Loamy,Urea
Tomato,93,79,58,30.7,83.9,34.3,Red,Organic
Millet,22,63,62,38.8,84.5,47.4,Clay,SSP
Millet,117,55,39,16.8,77.3,73.3,Red,SSP
Maize,43,58,25,32.2,35.6,62.9,Red,DAP
Tomato,104,63,74,16.2,33.3,20.6,Red,Organic
Tomato,101,62,43,25.2,48.4,42.2,Red,Organic
Rice,96,26,71,29.9,65.9,69.7,Loamy,Urea
Sugarcane,23,79,54,30.7,86.8,43.7,Loamy,Compost
Rice,120,59,27,31.2,83.5,24.5,Red,Urea
Maize,122,30,39,29.9,74.6,22.5,Red,NPK
Tomato,77,44,57,25.3,89.8,45.6,Black,DAP
Maize,73,44,48,18.1,67.1,48.4,Loamy,NPK
Tomato,54,57,73,22.3,46.6,72.6,Clay,Organic
Maize,71,22,53,23.5,85.2,71.4,Sandy,NPK
Rice,69,76,72,16.7,49.3,26.4,Clay,Urea
Maize,88,49,17,36.5,86.0,43.1,Clay,NPK
Tomato,60,33,62,38.2,65.1,82.5,Clay,Organic
Rice,139,34,41,19.2,44.9,81.9,Clay,Urea
Millet,23,33,11,27.0,51.4,54.4,Sandy,SSP
Wheat,85,18,22,34.5,58.7,43.6,Black,Compost
Sugarcane,104,54,14,36.9,89.7,30.6,Sandy,Compost
Maize,34,71,60,34.7,79.4,29.8,Clay,NPK
Sugarcane,115,36,72,21.1,88.2,70.9,Red,Compost
Cotton,84,25,36,22.4,52.8,28.8,Sandy,MOP
Tomato,134,52,28,23.7,43.0,61.3,Red,Organic
Rice,90,29,75,19.9,74.1,24.4,Loamy,NPK
Sugarcane,134,40,18,31.7,58.4,59.4,Red,Compost
Millet,108,21,36,31.3,67.6,26.7,Red,SSP
Millet,103,68,54,38.4,34.0,85.7,Red,SSP
Rice,127,31,79,27.3,32.5,47.9,Clay,Urea
Wheat,38,76,30,25.7,74.5,65.4,Sandy,DAP
Tomato,51,23,10,15.9,52.9,28.9,Black,SSP
Rice,24,58,28,19.3,73.0,69.9,Red,Urea
Maize,92,36,56,15.8,36.0,43.4,Black,NPK
Sugarcane,76,40,51,24.2,50.9,34.4,Black,Organic
Tomato,56,62,77,15.1,66.6,68.1,Red,Organic
Millet,80,59,60,17.8,51.3,68.5,Black,SSP
Wheat,73,38,27,22.4,76.6,62.5,Clay,DAP
Tomato,40,39,34,37.6,69.0,49.4,Black,Urea
Sugarcane,85,55,76,18.4,77.7,89.8,Red,Organic
Millet,56,24,58,37.3,59.4,53.6,Clay,SSP
Tomato,43,23,39,27.4,60.8,61.0,Clay,Organic
Cotton,77,56,11,25.9,76.6,50.8,Sandy,MOP
Maize,37,42,32,37.7,36.7,24.3,Clay,NPK
Wheat,122,64,41,16.1,67.9,54.5,Black,DAP
Maize,72,47,65,35.5,57.6,44.6,Clay,NPK
Millet,67,51,13,25.3,69.0,71.1,Red,SSP
Wheat,61,80,51,18.7,56.9,78.7,Loamy,SSP
Rice,37,70,23,25.6,63.8,45.5,Clay,Organic
Wheat,39,77,18,17.9,50.8,61.6,Black,Urea
Maize,50,70,52,21.7,80.5,65.0,Red,NPK
Rice,89,17,67,22.2,36.6,61.2,Sandy,Urea
Wheat,43,33,55,32.2,55.2,41.9,Black,DAP
Maize,114,24,64,33.8,82.4,89.0,Sandy,NPK
Rice,64,44,34,24.6,63.5,79.4,Clay,Urea
Cotton,122,58,60,27.3,74.5,79.0,Loamy,Organic
Rice,125,71,46,16.3,44.7,81.3,Sandy,Urea
Millet,63,20,33,21.5,59.9,41.0,Sandy,SSP
Rice,49,32,27,39.9,56.6,67.2,Red,Urea
Maize,111,14,51,18.9,45.4,48.5,Sandy,NPK
Millet,78,71,38,25.8,36.2,78.9,Red,SSP
Maize,119,76,17,39.3,52.8,37.7,Loamy,NPK
Tomato,100,21,19,22.3,34.1,69.2,Loamy,Organic
Maize,69,27,27,26.8,36.2,62.2,Black,NPK
Wheat,61,44,16,35.4,53.8,73.7,Sandy,DAP
Maize,136,16,26,23.8,39.2,85.6,Red,NPK
Cotton,34,36,23,35.4,70.1,28.7,Red,MOP
Millet,70,71,16,15.7,84.7,85.9,Loamy,SSP
Rice,72,15,38,32.2,85.2,54.2,Sandy,Urea
Rice,64,11,73,32.4,73.0,42.4,Clay,Urea
Wheat,81,65,38,32.9,38.7,40.7,Red,NPK
Rice,121,38,66,33.4,44.7,37.9,Clay,Urea
Maize,39,34,38,21.8,30.5,47.6,Loamy,NPK
Millet,31,48,24,23.3,46.2,65.8,Black,DAP
Maize,69,27,69,37.1,82.5,36.5,Loamy,NPK
Tomato,86,34,79,31.7,59.1,29.7,Loamy,Organic
Tomato,53,11,27,30.3,80.7,31.2,Sandy,Organic
Wheat,59,18,51,37.8,34.2,60.5,Red,DAP
Maize,134,55,17,32.4,66.8,32.4,Sandy,NPK
Cotton,127,48,34,32.6,48.4,24.7,Sandy,MOP
Rice,23,70,67,16.4,52.7,64.2,Red,Urea
Sugarcane,23,69,16,30.1,75.9,82.2,Red,Compost
Wheat,52,27,67,22.8,32.5,24.5,Sandy,DAP
Wheat,72,62,15,37.7,65.6,29.3,Sandy,DAP
Millet,28,52,69,18.3,67.0,27.3,Loamy,SSP
Tomato,94,32,33,16.9,87.7,40.7,Sandy,Organic
Cotton,69,49,42,21.5,58.8,48.2,Sandy,MOP
Millet,66,68,74,38.6,59.3,25.7,Clay,SSP
Maize,47,68,19,34.4,79.4,32.3,Sandy,NPK
Tomato,117,60,15,29.2,69.1,88.7,Black,NPK
Cotton,46,77,34,20.7,65.3,82.9,Loamy,NPK
Sugarcane,58,10,41,24.9,79.2,20.6,Black,Compost
Wheat,33,25,36,30.1,64.8,55.2,Clay,DAP
Rice,70,69,58,16.4,52.1,30.5,Loamy,Urea
Wheat,55,26,59,39.4,83.5,38.4,Sandy,DAP
Rice,102,61,72,23.2,68.7,44.5,Loamy,Urea
Millet,131,54,13,38.6,37.4,86.2,Black,SSP
Sugarcane,21,58,71,24.0,39.5,24.3,Sandy,Compost
Sugarcane,122,27,15,28.6,81.2,73.7,Loamy,Compost
Millet,109,62,73,20.7,58.7,51.2,Black,SSP
Cotton,44,64,28,38.9,86.5,27.0,Clay,Urea
Wheat,88,70,63,24.2,36.1,53.7,Clay,SSP
Maize,52,73,72,15.0,41.8,46.4,Sandy,NPK
Wheat,62,68,67,33.0,72.7,55.7,Loamy,DAP
Tomato,80,31,15,39.2,87.6,26.2,Red,SSP
Maize,24,67,38,35.3,73.2,75.9,Red,NPK
Rice,103,53,13,33.6,74.4,58.0,Sandy,DAP
Cotton,32,15,27,30.6,70.3,88.5,Red,MOP
Millet,94,29,31,21.0,49.6,50.7,Sandy,SSP
Maize,73,12,71,21.2,87.2,65.8,Black,NPK
Cotton,127,77,60,31.9,64.7,74.5,Sandy,MOP
Cotton,71,38,29,27.6,60.7,36.8,Black,DAP
Wheat,100,10,65,39.6,34.0,75.1,Clay,DAP
Cotton,41,16,62,22.3,34.9,24.9,Sandy,MOP
Maize,107,63,11,34.4,86.3,65.2,Black,NPK
Cotton,115,12,49,31.0,81.8,42.1,Clay,MOP
Cotton,128,32,61,33.4,82.6,44.7,Sandy,MOP
Cotton,128,66,14,24.9,75.9,48.3,Clay,MOP
Maize,90,56,72,20.5,45.5,82.8,Loamy,NPK
Tomato,47,19,16,22.6,50.3,22.2,Clay,Organic
Maize,119,13,58,15.3,74.7,41.5,Sandy,NPK
Maize,63,76,76,27.6,48.6,45.4,Loamy,NPK
Cotton,54,49,43,29.2,33.4,30.1,Red,MOP
Maize,116,53,35,25.0,83.1,61.6,Loamy,NPK
Cotton,129,61,30,39.9,59.8,71.3,Clay,MOP
Rice,60,21,37,18.6,56.3,43.9,Sandy,Compost
Rice,81,62,48,27.1,77.2,23.6,Black,Urea
Tomato,23,43,71,33.0,49.7,73.8,Clay,Organic
Wheat,63,21,33,15.1,83.1,51.3,Loamy,DAP
Maize,100,44,64,35.8,85.9,59.0,Black,NPK
Cotton,80,41,36,30.4,35.1,39.6,Black,Urea
Rice,94,10,38,38.2,82.9,81.3,Red,Urea
Rice,45,48,55,22.3,42.1,53.1,Red,Urea
Wheat,115,66,64,19.0,86.0,79.5,Red,DAP
Maize,68,57,54,28.3,67.8,33.2,Sandy,NPK
Rice,45,70,31,22.2,69.3,40.6,Sandy,Urea
Wheat,116,78,29,26.9,56.2,31.6,Sandy,DAP
Millet,105,15,78,16.4,83.0,82.1,Red,Organic
Millet,102,17,27,29.3,57.2,30.7,Clay,SSP
Cotton,91,42,12,35.4,53.7,21.3,Loamy,MOP
Rice,92,56,75,34.7,60.8,34.9,Loamy,Urea
Maize,86,35,64,25.3,65.6,60.7,Red,NPK
Wheat,57,21,25,33.3,59.3,36.0,Clay,DAP
Maize,123,64,43,15.4,69.6,29.9,Clay,NPK
Cotton,101,56,51,26.7,56.7,39.8,Clay,MOP
Maize,93,78,58,16.5,48.6,47.0,Sandy,NPK
Tomato,131,34,36,16.3,42.1,79.9,Black,Organic
Maize,110,24,38,29.7,73.6,58.7,Clay,NPK
Sugarcane,116,21,26,30.7,36.8,70.4,Sandy,Compost
Tomato,69,38,42,26.5,62.4,63.2,Clay,Organic
Wheat,111,11,41,15.0,37.0,32.8,Red,DAP
Sugarcane,102,52,18,27.4,72.6,30.2,Clay,Compost
Rice,130,35,76,24.9,54.1,63.5,Black,Urea
Millet,96,49,23,24.4,67.2,31.6,Loamy,SSP
Maize,65,15,22,28.2,61.2,81.9,Loamy,NPK
Cotton,51,28,22,15.2,56.1,78.3,Clay,NPK
Sugarcane,76,69,33,26.5,33.7,39.5,Sandy,Compost
Maize,126,40,60,20.2,65.2,81.2,Sandy,NPK
Maize,113,42,71,24.1,83.5,62.5,Red,SSP
Cotton,55,53,69,39.3,90.0,31.2,Black,MOP
Millet,43,59,60,28.6,66.3,32.3,Red,Urea
Wheat,75,43,16,24.8,80.5,52.1,Black,DAP
Sugarcane,86,78,70,25.9,31.3,32.6,Loamy,Compost
Tomato,45,71,72,30.7,71.9,56.9,Loamy,Organic
Millet,46,38,55,35.8,33.2,79.1,Sandy,Urea
Rice,103,45,51,23.1,55.9,67.5,Red,Urea
Cotton,106,31,15,15.9,65.6,46.4,Loamy,MOP
Cotton,98,78,43,27.8,66.6,41.7,Sandy,MOP
Cotton,30,73,46,22.9,42.7,66.8,Black,MOP
Rice,68,37,75,27.6,74.0,58.2,Sandy,Urea
Millet,137,19,78,37.1,51.8,32.5,Loamy,Compost
Rice,120,76,57,18.8,35.4,40.7,Loamy,Urea
Millet,87,70,74,32.4,75.2,24.5,Black,SSP
Sugarcane,65,45,63,20.2,65.5,80.7,Black,MOP
Millet,114,78,61,30.3,44.6,56.9,Red,SSP
Millet,127,33,71,17.9,52.6,73.9,Loamy,SSP
Wheat,126,65,25,29.9,39.0,57.1,Sandy,DAP
Millet,95,21,57,25.0,81.1,78.0,Black,SSP
Sugarcane,54,38,79,20.7,83.1,76.5,Loamy,Compost
Cotton,28,58,52,36.8,89.0,36.1,Red,MOP
Tomato,33,25,69,29.3,81.6,80.6,Red,Organic
Wheat,47,26,44,39.3,69.3,26.6,Loamy,DAP
Cotton,95,27,18,26.5,48.4,45.9,Sandy,MOP
Rice,88,75,41,18.5,45.8,83.1,Sandy,Urea
Rice,20,15,66,15.7,77.7,22.7,Sandy,Urea
Tomato,118,16,62,33.3,37.5,62.2,Black,Organic
Maize,54,52,25,36.9,45.8,49.6,Black,NPK
Maize,107,10,26,31.2,63.0,29.3,Red,NPK
Tomato,54,43,56,15.5,86.5,46.9,Red,Organic
Millet,99,54,58,20.4,77.1,78.2,Black,MOP
Wheat,29,21,40,35.5,77.8,68.9,Sandy,DAP
Cotton,79,53,34,23.0,71.6,27.8,Clay,MOP
Cotton,133,61,56,28.6,40.8,87.0,Sandy,MOP
Millet,122,16,39,26.7,53.9,24.0,Sandy,SSP
Maize,34,30,63,23.1,77.5,20.4,Red,NPK
Maize,32,36,15,36.7,56.1,27.6,Black,NPK
Millet,75,70,64,26.9,65.8,50.5,Loamy,SSP
Millet,43,55,66,37.2,41.8,22.5,Sandy,SSP
Rice,89,71,53,36.0,61.4,55.7,Sandy,Urea
Tomato,59,26,47,17.4,42.4,71.5,Black,Organic
Cotton,130,71,27,26.7,39.5,66.4,Loamy,MOP
Rice,63,61,36,35.2,82.9,47.2,Red,Urea
Sugarcane,91,58,41,36.0,81.0,89.4,Clay,Compost
Rice,135,29,76,18.9,41.2,79.7,Loamy,Urea
Sugarcane,48,47,19,39.5,50.3,25.1,Sandy,Compost
Rice,86,78,80,34.9,71.4,81.6,Red,Urea
Cotton,127,35,64,25.8,79.9,43.5,Clay,MOP
Tomato,65,59,16,20.4,48.0,48.5,Clay,Organic
Rice,79,64,35,29.0,44.6,35.4,Red,Urea
Tomato,23,39,73,37.0,85.3,53.6,Black,Organic
Millet,26,74,44,37.2,47.7,28.8,Red,SSP
Maize,81,13,10,35.1,84.0,52.8,Red,NPK
Cotton,81,64,55,30.1,60.4,27.2,Black,MOP
Tomato,56,57,17,30.1,63.6,27.2,Black,MOP
Tomato,32,77,10,30.2,69.6,42.7,Clay,Organic
Millet,95,80,80,15.6,30.9,73.7,Black,SSP
Millet,27,38,25,34.3,36.6,34.2,Sandy,SSP
Tomato,122,15,25,31.3,75.2,51.3,Clay,Organic
Millet,75,56,66,34.2,60.4,66.7,Red,SSP
Rice,30,37,47,15.9,62.8,48.1,Loamy,SSP
Maize,56,48,13,33.3,54.1,32.0,Red,NPK
Wheat,111,65,50,37.2,84.1,33.1,Loamy,Compost
Maize,48,72,52,32.2,66.7,56.1,Clay,NPK
Sugarcane,139,52,53,34.1,80.2,23.3,Sandy,Compost
Tomato,41,77,14,36.8,80.9,38.0,Clay,Organic
Tomato,54,22,76,19.5,52.7,87.2,Clay,DAP
Rice,37,40,56,27.5,54.8,72.9,Clay,SSP
Sugarcane,135,53,59,26.7,34.0,42.8,Black,Compost
Wheat,82,58,29,15.7,76.8,87.2,Sandy,DAP
Tomato,65,19,78,31.7,74.1,40.7,Black,Organic
Maize,56,12,38,31.8,64.9,32.1,Red,NPK
Cotton,115,30,43,33.9,30.8,20.7,Loamy,MOP
Rice,32,61,45,29.3,83.0,31.2,Red,Urea
Tomato,85,19,74,28.1,76.4,49.8,Black,Organic
Wheat,63,69,71,19.5,51.6,64.3,Sandy,DAP
Maize,80,51,26,30.8,56.4,50.8,Black,NPK
Sugarcane,57,35,51,20.3,38.0,68.8,Black,Compost
Sugarcane,64,38,67,18.5,42.2,60.7,Black,Compost
Millet,88,13,38,32.9,71.6,34.7,Clay,SSP
Wheat,119,53,80,34.8,78.2,40.6,Red,DAP
Tomato,94,16,13,19.1,59.6,21.8,Loamy,Organic
Cotton,116,20,13,17.6,84.3,86.3,Black,MOP
Rice,70,19,26,23.6,39.6,65.9,Loamy,Urea
Tomato,131,76,24,16.4,62.1,43.4,Black,SSP
Cotton,86,43,77,27.1,76.1,54.9,Loamy,MOP
Sugarcane,41,74,67,17.7,48.7,46.4,Black,Compost
Millet,75,66,59,26.5,38.5,33.4,Black,SSP
Tomato,134,24,69,15.6,64.3,52.4,Red,Organic
Tomato,77,39,17,30.8,43.6,49.4,Clay,Organic
Maize,57,14,72,18.2,65.5,88.5,Clay,NPK
Sugarcane,73,61,48,26.5,30.8,66.4,Black,Compost
Tomato,123,70,57,20.4,71.1,80.8,Clay,Urea
Wheat,61,71,79,18.2,80.5,47.2,Clay,DAP
Rice,72,74,70,20.2,69.2,83.9,Loamy,Urea
Maize,75,27,44,32.1,35.2,65.0,Sandy,Compost
Tomato,96,67,80,25.6,72.2,76.7,Loamy,SSP
Wheat,72,35,40,26.4,62.7,59.6,Clay,DAP
Millet,103,47,17,35.8,52.3,89.4,Loamy,SSP
Wheat,63,71,33,27.9,35.1,29.1,Red,DAP
Sugarcane,84,26,47,30.1,65.7,75.2,Clay,Compost
Maize,42,71,13,33.5,48.7,22.4,Sandy,NPK
Rice,113,26,19,31.3,73.7,60.7,Clay,Urea
Rice,32,20,33,16.7,63.3,80.5,Black,Urea
Sugarcane,121,75,79,16.0,69.8,60.6,Red,Compost
Rice,28,72,16,16.4,50.0,31.9,Loamy,Urea
Cotton,113,57,10,25.2,76.5,36.3,Loamy,Compost
Tomato,106,79,19,26.0,87.1,41.7,Loamy,DAP
Cotton,75,41,25,35.7,87.8,25.8,Sandy,MOP
Millet,71,27,51,26.7,81.9,85.6,Sandy,SSP
Sugarcane,29,80,10,33.0,31.0,57.8,Sandy,Compost
Rice,73,61,40,16.7,90.0,43.2,Black,Urea
Cotton,97,37,47,19.6,82.4,79.2,Red,MOP
Rice,69,77,57,15.9,38.5,41.1,Black,Urea
Wheat,20,65,28,25.1,81.9,55.6,Sandy,DAP
Maize,71,56,71,33.0,76.3,53.3,Clay,MOP
Maize,125,29,44,24.5,69.7,34.2,Black,NPK
Tomato,75,12,36,25.6,40.2,64.2,Clay,Organic
Cotton,29,74,50,26.4,81.7,82.2,Sandy,Urea
Rice,32,56,26,15.1,40.6,55.3,Loamy,Urea
Millet,33,63,53,28.0,59.3,38.9,Black,SSP
Cotton,64,23,40,30.4,34.2,72.5,Loamy,MOP
Rice,42,44,44,18.6,50.2,49.9,Loamy,Urea
Wheat,94,50,73,36.9,69.1,78.7,Red,DAP
Tomato,37,34,79,24.2,47.7,36.7,Red,Organic
Millet,59,71,69,24.3,42.3,55.0,Red,SSP
Cotton,102,39,51,31.7,41.7,89.3,Loamy,MOP
Maize,138,10,48,33.3,68.5,65.7,Clay,NPK
Millet,28,19,29,32.6,57.8,74.7,Black,SSP
Millet,67,66,50,24.5,75.8,75.6,Black,SSP
Wheat,93,23,46,29.0,83.2,60.5,Clay,DAP
Sugarcane,78,59,38,28.7,63.9,84.4,Red,Organic
Cotton,23,16,70,28.5,59.3,75.5,Loamy,Organic
Wheat,47,38,24,29.0,73.3,25.7,Loamy,DAP
Rice,108,73,67,33.9,54.8,43.1,Black,Urea
Wheat,81,20,50,26.5,56.5,87.8,Red,DAP
Rice,84,36,39,27.0,88.4,20.9,Black,Urea
Millet,26,72,64,31.9,88.1,28.4,Loamy,SSP
Tomato,67,24,40,20.3,60.8,82.5,Sandy,Organic
Maize,115,57,29,39.7,42.3,62.5,Sandy,DAP
Tomato,37,26,24,21.3,88.6,85.4,Loamy,Organic
Cotton,76,15,66,20.8,48.4,89.2,Red,MOP
Sugarcane,80,67,72,23.3,66.8,38.2,Red,SSP
Rice,41,33,54,16.1,88.5,53.5,Clay,Urea
Wheat,99,56,62,25.4,72.0,47.1,Red,DAP
Sugarcane,112,42,26,36.1,82.0,79.5,Black,NPK
Sugarcane,61,12,56,21.7,81.6,45.7,Red,DAP
Millet,133,57,38,25.9,62.5,79.8,Black,SSP
Cotton,70,46,56,15.8,37.1,69.6,Black,MOP
Maize,91,80,47,18.2,31.8,68.7,Clay,NPK
Cotton,115,33,37,34.2,64.7,81.1,Clay,MOP
Sugarcane,109,37,13,26.0,32.2,52.7,Clay,Compost
Maize,98,72,67,16.8,47.8,21.2,Red,NPK
Rice,97,34,15,34.4,40.1,25.6,Sandy,Urea
Millet,25,70,27,15.3,87.0,44.3,Clay,SSP
Wheat,124,45,18,15.1,51.4,36.3,Black,DAP
Rice,40,29,50,33.7,79.5,48.5,Black,Urea
Millet,71,54,57,22.9,64.9,62.5,Clay,SSP
Wheat,52,19,47,37.7,58.0,71.2,Clay,DAP
Rice,108,76,54,39.1,50.6,74.8,Clay,Urea
Cotton,30,45,16,15.7,82.0,36.9,Loamy,MOP
Maize,42,10,69,33.6,72.0,62.5,Black,NPK
Sugarcane,122,71,56,28.2,77.0,56.0,Clay,Compost
Cotton,104,14,30,25.7,66.2,51.3,Black,MOP
Wheat,138,33,78,29.8,36.5,44.0,Clay,DAP
Maize,22,75,15,27.0,42.5,63.0,Red,NPK
Millet,58,46,61,36.7,51.5,72.8,Black,SSP
Maize,60,48,18,38.8,43.3,70.4,Red,NPK
Rice,117,79,49,29.9,66.7,43.2,Loamy,Urea
Tomato,69,63,56,29.3,89.1,36.0,Sandy,Organic
Tomato,71,30,78,23.9,78.7,21.7,Red,Organic
Sugarcane,37,63,21,31.1,60.4,61.9,Loamy,MOP
Rice,42,68,24,28.5,49.5,45.6,Red,Compost
Wheat,134,38,39,20.7,59.1,65.0,Loamy,DAP
Cotton,29,58,10,33.4,64.8,21.7,Sandy,NPK
Cotton,93,31,32,23.2,79.0,26.0,Sandy,MOP
Millet,55,63,63,22.8,61.8,32.6,Loamy,SSP
Wheat,90,63,47,30.9,88.2,26.8,Loamy,DAP
Maize,37,11,48,29.9,82.6,87.3,Red,NPK
Cotton,86,16,63,26.0,84.5,88.4,Red,Compost
Maize,40,62,26,20.0,34.8,55.6,Red,NPK
Sugarcane,85,14,73,29.0,68.4,76.5,Red,Compost
Cotton,82,63,64,17.9,88.3,23.3,Clay,SSP
Cotton,137,74,40,38.5,38.4,62.5,Red,MOP
Wheat,138,57,34,22.3,35.8,20.6,Red,DAP
Sugarcane,31,19,75,27.4,84.7,23.1,Clay,Compost
Cotton,83,57,24,39.1,47.4,65.4,Red,MOP
Rice,64,55,79,25.0,47.5,26.5,Clay,SSP
Tomato,101,62,39,34.9,65.2,77.6,Loamy,Organic
Wheat,61,75,18,35.7,40.8,62.6,Loamy,DAP
Millet,109,67,56,35.8,74.2,24.7,Clay,SSP
Cotton,25,21,18,34.3,82.8,49.3,Red,MOP
Maize,69,22,42,35.8,69.1,42.8,Clay,NPK
Millet,52,46,48,26.4,48.4,24.7,Loamy,SSP
Cotton,68,51,28,30.2,72.3,75.8,Clay,SSP
Cotton,38,68,67,20.8,57.5,82.7,Black,MOP
Wheat,100,49,34,17.6,62.3,32.7,Clay,DAP
Millet,72,18,70,20.0,68.3,62.1,Clay,SSP
Rice,28,77,43,26.2,38.1,42.0,Black,Compost
Wheat,49,21,28,32.1,77.2,72.9,Black,DAP
Sugarcane,67,64,63,19.5,37.5,52.1,Clay,MOP
Cotton,89,78,41,21.6,58.7,27.8,Clay,MOP
Rice,127,48,73,36.7,81.0,71.3,Black,Urea
Millet,30,54,37,30.9,62.2,23.8,Clay,SSP
Cotton,22,69,57,35.9,65.9,51.5,Loamy,MOP
Rice,111,51,12,24.1,85.7,80.8,Clay,Urea
Maize,125,15,39,23.3,57.8,25.7,Black,NPK
Sugarcane,28,64,72,39.3,31.3,74.7,Loamy,Compost
Cotton,84,57,47,24.2,44.3,49.3,Loamy,MOP
Millet,85,59,63,37.6,55.6,31.2,Black,SSP
Rice,110,21,66,15.7,70.4,26.0,Red,Urea
Tomato,92,74,11,29.2,88.4,76.2,Sandy,SSP
Cotton,121,12,41,21.0,48.8,63.2,Clay,MOP
Millet,55,42,45,38.7,76.2,36.0,Sandy,SSP
Sugarcane,63,44,49,20.8,60.8,69.9,Red,Compost
Maize,42,47,14,26.9,47.2,52.0,Loamy,NPK
Maize,107,21,67,38.4,61.6,68.9,Sandy,NPK
Wheat,50,31,77,20.4,47.1,52.8,Black,Urea
Sugarcane,31,48,11,38.1,50.1,64.7,Sandy,Compost
Maize,130,42,12,16.2,48.2,70.8,Sandy,SSP
Sugarcane,122,78,66,20.9,62.4,76.8,Loamy,MOP
Cotton,99,13,71,28.5,83.8,80.3,Sandy,MOP
Maize,94,67,22,30.1,80.3,82.5,Red,NPK
Sugarcane,88,78,20,20.6,84.1,48.3,Red,Compost
Cotton,71,20,36,21.5,36.7,21.9,Black,MOP
Cotton,87,40,38,15.2,39.8,80.3,Sandy,MOP
Sugarcane,122,69,33,22.3,59.1,51.2,Clay,Compost
Millet,122,70,79,21.8,39.2,21.5,Sandy,SSP
Sugarcane,91,77,64,17.0,77.9,65.6,Loamy,Compost
Cotton,80,70,10,23.5,48.3,60.3,Black,MOP
Wheat,128,15,80,34.4,80.3,27.0,Sandy,DAP
Sugarcane,48,24,11,26.8,85.4,69.9,Sandy,Compost
Cotton,66,34,63,27.4,33.9,44.8,Loamy,MOP
Cotton,50,46,43,29.5,74.3,28.7,Red,MOP
Cotton,55,27,55,17.5,44.2,54.4,Black,MOP
Cotton,21,67,63,16.2,78.7,45.3,Loamy,MOP
Rice,67,68,23,31.1,85.9,79.6,Black,Urea
Rice,43,78,76,23.2,79.3,22.0,Clay,Urea
Cotton,55,64,79,21.0,32.4,60.4,Loamy,MOP
Rice,139,80,47,29.3,64.4,67.0,Clay,Urea
Tomato,126,74,22,34.0,78.7,78.0,Loamy,Organic
Millet,137,29,76,15.4,55.7,79.0,Black,SSP
Tomato,135,33,37,19.5,87.7,61.1,Sandy,Organic
Tomato,31,51,78,22.7,40.7,69.6,Loamy,MOP
Cotton,28,13,13,34.7,37.8,37.6,Red,MOP
Wheat,140,38,45,22.4,45.2,85.9,Red,DAP
Cotton,101,57,72,17.9,35.9,33.3,Sandy,MOP
Sugarcane,71,49,11,27.5,76.9,53.5,Loamy,Compost
Millet,37,71,41,38.3,51.7,74.1,Loamy,SSP
Cotton,102,65,50,27.5,41.8,57.6,Clay,MOP
Sugarcane,71,31,24,39.4,49.0,29.5,Red,NPK
Rice,50,79,47,24.6,41.2,66.1,Red,SSP
Maize,51,47,71,37.5,81.7,69.6,Loamy,NPK
Tomato,69,13,39,36.5,80.6,77.2,Loamy,Organic
Wheat,45,65,19,30.8,59.6,77.9,Red,Urea
Wheat,112,14,30,32.1,65.1,71.8,Clay,MOP
Sugarcane,88,78,38,35.6,86.4,46.1,Sandy,Compost
Wheat,47,40,18,23.5,82.9,71.2,Clay,DAP
Wheat,78,73,77,18.9,50.4,74.6,Sandy,DAP
Wheat,45,65,70,35.7,56.3,71.5,Clay,DAP
Millet,86,12,80,19.1,53.0,39.2,Clay,SSP
Tomato,139,11,58,22.3,46.0,78.4,Red,Organic
Rice,55,43,43,29.0,62.6,57.3,Black,Urea
Cotton,62,72,72,33.5,40.3,55.1,Red,MOP
Cotton,128,27,36,15.0,72.9,35.0,Clay,MOP
