Category,Crop,Disease,Question,Answer,Keywords
Irrigation,green gram,yellow mosaic virus,Which machines or implements are useful for green gram to save labor and time?,"In green gram, schedule irrigation based on soil type: sandy soils need frequent light irrigation; clay soils need fewer but deeper irrigations. Use tensiometer at 15–20 cm depth; irrigate at −20 to −30 kPa. Avoid drought at flowering to prevent yield loss.","agriculture,farming,green gram,india,irrigation,loamy,yellow mosaic virus"
Weather,black gram,anthracnose,How do I implement IPM in black gram step by step?,"In black gram, avoid sowing during heatwaves (>38°C). Use early-morning irrigation and mulch to reduce heat stress. For cold waves, ensure adequate soil moisture and avoid late nitrogen. Watch IMD advisories for rainfall and temperature. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,anthracnose,black gram,farming,india,weather"
Soil,banana,anthracnose,How can I increase yield in banana with better agronomy and protection?,"In banana, heavy clay soils need raised beds and proper drainage. Sandy soils benefit from mulching and frequent light irrigations. Loamy soils are ideal; maintain OC with crop residues and manures. Keep records of inputs and yields each season to refine your plan.","agriculture,anthracnose,banana,farming,india,laterite,soil"
Government Scheme,mango,powdery mildew,How do I store mango grains safely to avoid pests and mold?,"In mango, state schemes may offer seed subsidies, drip irrigation support, and power concessions. Keep Aadhaar, land records, and bank details updated for scheme benefits. Use KCC for working capital and input purchases. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,government_scheme,india,mango,powdery mildew,sandy"
Harvesting,papaya,ring spot virus,How do I set up protected cultivation or greenhouse for papaya?,"Harvest papaya at physiological maturity: grains at 20–22% moisture, pods when 80–90% brown. Avoid delayed harvest to reduce shattering and field losses. Use combine harvesters where feasible; dry grains to 12–14% before storage. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,harvesting,india,papaya,ring spot virus,sandy"
Marketing,grapes,downy mildew,How do I implement IPM in grapes step by step?,"For grapes, PMFBY provides yield-based insurance at low premium. Enroll through banks or CSC before sowing. Maintain plot-wise records and cooperate during crop cutting experiments for claim settlement. Keep records of inputs and yields each season to refine your plan.","agriculture,downy mildew,farming,grapes,india,laterite,marketing"
Organic Farming,pomegranate,cercospora leaf spot,How do I manage cercospora leaf spot in pomegranate? What are the symptoms and spray schedule?,"For organic pomegranate, use well-decomposed FYM (10–15 t/ha), vermicompost (2–3 t/ha), and biofertilizers (Rhizobium, PSB, Azotobacter). Avoid synthetic fertilizers and pesticides. Use neem-based products and botanicals for pest control. Keep records of inputs and yields each season to refine your plan.","agriculture,cercospora leaf spot,farming,india,laterite,organic_farming,pomegranate"
Yield Improvement,citrus,greening (huanglongbing),How do I select and treat seeds for citrus to improve germination?,"For citrus, integrate agronomy and protection: quality seeds, seed treatment, balanced fertilizers, and need-based sprays. Avoid late sowing and water stress during reproductive stages. Keep records of inputs and yields each season to refine your plan.","agriculture,black,citrus,farming,greening (huanglongbing),india,yield_improvement"
Seed Selection,turmeric,anthracnose,"What soil type and pH are ideal for turmeric, and how do I improve my soil?","In turmeric, procure seeds from certified agencies. Check germination before sowing; aim for >85%. Avoid storage in humid conditions. Keep records of inputs and yields each season to refine your plan.","agriculture,anthracnose,farming,india,loamy,seed_selection,turmeric"
Storage,ginger,soft rot,When and how should I harvest ginger to get maximum yield and quality?,"In ginger, fumigation should be done by trained personnel. Seal stores properly, use recommended doses, and observe aeration periods before sale or consumption. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,ginger,india,red,soft rot,storage"
Post-Harvest,garlic,rust,How do I manage rust in garlic? What are the symptoms and spray schedule?,"Store garlic grains at 12–14% moisture in clean, dry, rodent-proof structures. Treat storage area with malathion dust. Use hermetic bags or PICS bags for pulses. Fumigate with aluminum phosphide if needed, following safety protocols. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,farming,garlic,india,post-harvest,rust"
Mechanization,coriander,bacterial leaf spot,How should I plan crop rotation with coriander to improve soil health?,"For coriander, mechanization (seed drills, rotavators, harvesters) reduces cost and timeliness losses. Calibrate equipment for correct seed rate and spacing. Maintain machines regularly for safety and efficiency. Keep records of inputs and yields each season to refine your plan.","agriculture,bacterial leaf spot,coriander,farming,india,loamy,mechanization"
Intercropping,cumin,powdery mildew,"What are the signs of Zn, B, or S deficiency in cumin and how do I correct them?","Intercropping cumin with legumes improves soil N and reduces pest pressure. Use compatible row ratios (e.g., 2:1 or 4:2). Manage nutrients and irrigation for both crops. Keep records of inputs and yields each season to refine your plan.","agriculture,clay,cumin,farming,india,intercropping,powdery mildew"
Crop Rotation,rice,brown spot,"How can I control stem borer, leaf folder, brown planthopper, green leafhopper in rice using IPM and reduce chemical sprays?","For rice, integrate livestock or agroforestry in rotations for diversification. Use manure and compost to recycle nutrients. Monitor soil tests to adjust rotations. Keep records of inputs and yields each season to refine your plan.","agriculture,brown spot,crop_rotation,farming,india,loamy,rice"
Water Conservation,wheat,rust,What weather conditions harm wheat and how do I protect my crop?,"In wheat, avoid over-irrigation which leaches nutrients and promotes diseases. Use tensiometers or soil moisture sensors for precise scheduling. Maintain drainage to prevent waterlogging. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,farming,india,rust,water_conservation,wheat"
Micronutrients,maize,turcicum leaf blight,How do I implement IPM in maize step by step?,Mn deficiency in maize causes grey speck and reduced growth. Use MnSO4 foliar (0.2–0.3%) at tillering/vegetative stage. Maintain balanced NPK to improve micronutrient efficiency. Keep records of inputs and yields each season to refine your plan.,"agriculture,farming,india,loamy,maize,micronutrients,turcicum leaf blight"
NPK Management,cotton,pink bollworm damage,How does crop insurance work for cotton and how do I claim?,"In cotton, excessive N without K increases lodging and disease. Maintain K at 50–60 kg/ha for stalk strength. Use 19:19:19 foliar at flowering for fruit set. Add FYM 5–10 t/ha for long-term soil health. Keep records of inputs and yields each season to refine your plan.","agriculture,cotton,farming,india,laterite,npk_management,pink bollworm damage"
IPM,sugarcane,red rot,What GAP should I follow for sugarcane to meet market and export standards?,"For sugarcane, combine mechanical (handpicking), biological (parasitoids), and chemical controls. Calibrate sprayers; apply at correct growth stage. Follow pre-harvest intervals and safety norms. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,ipm,loamy,red rot,sugarcane"
Weed Management,soybean,yellow mosaic virus,What are effective weed control methods for soybean that are safe and cheap?,"For soybean, timely weeding (first 30 days) is critical. Use mechanical weeding or recommended herbicides. Avoid late weeding that damages roots. Maintain crop geometry for canopy closure. Keep records of inputs and yields each season to refine your plan.","agriculture,black,farming,india,soybean,weed_management,yellow mosaic virus"
Protected Cultivation,tomato,early blight,What water conservation practices work best for tomato in my area?,"In tomato, protected cultivation reduces pesticide use. Combine with biological controls and hygiene. Plan crop cycles to match market demand. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,early blight,farming,india,protected_cultivation,tomato"
Greenhouse,potato,scab,How does crop insurance work for potato and how do I claim?,"In potato, hydroponics saves water and nutrients. Maintain EC and pH in recommended ranges. Use sterile media and prevent root diseases with sanitation. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,greenhouse,india,laterite,potato,scab"
Hydroponics,onion,purple blotch,Which government schemes can I use for onion cultivation and marketing?,"For onion, polyhouses improve yield and quality. Install fans and foggers for climate control. Use reflective mulch and trellising for better light distribution. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,hydroponics,india,onion,purple blotch,sandy"
Carbon Farming,chilli,powdery mildew,What is a good NPK plan for chilli to avoid lodging and disease?,"In chilli, precision fertilizer use reduces N2O emissions. Use urease inhibitors and split N applications. Combine with renewable energy for irrigation. Keep records of inputs and yields each season to refine your plan.","agriculture,carbon_farming,chilli,farming,india,powdery mildew,red"
Regenerative Agriculture,brinjal,alternaria leaf spot,What weather conditions harm brinjal and how do I protect my crop?,"In brinjal, combine traditional knowledge with modern science for regenerative outcomes. Use participatory trials and share results with neighbors. Seek technical support from agriculture departments. Keep records of inputs and yields each season to refine your plan.","agriculture,alternaria leaf spot,brinjal,farming,india,laterite,regenerative_agriculture"
GAP,cabbage,clubroot,How does crop insurance work for cabbage and how do I claim?,"In cabbage, GAP reduces risks and builds buyer trust. Regularly audit practices and update SOPs. Engage with buyers to understand quality standards. Keep records of inputs and yields each season to refine your plan.","agriculture,black,cabbage,clubroot,farming,gap,india"
Insurance,cauliflower,alternaria leaf spot,How do I store cauliflower grains safely to avoid pests and mold?,"Crop insurance (PMFBY) for cauliflower covers yield losses due to weather, pests, and diseases. Enroll before sowing through banks or CSC. Cooperate during crop cutting experiments for claim settlement. Keep records of inputs and yields each season to refine your plan.","agriculture,alternaria leaf spot,cauliflower,clay,farming,india,insurance"
Fertilizer,okra,yellow vein mosaic,"How can I control shoot and fruit borer, aphids, jassids, whitefly in okra using IPM and reduce chemical sprays?","For okra, target 120–150 kg N/ha in high-yield zones. Use 50% N at sowing, 25% at tillering, 25% at panicle initiation. Apply 60 kg P2O5 and 40–60 kg K2O basally. In acidic soils, liming (2–5 t/ha) improves P availability. Use 10–15 t/ha FYM for soil health. Foliar 2% urea at flowering can help under stress.","agriculture,alluvial,farming,fertilizer,india,okra,yellow vein mosaic"
Disease,groundnut,rust,How do I implement IPM in groundnut step by step?,"For rust in groundnut, early detection is key. Symptoms include orange-brown pustules on leaves and stems. Spray recommended fungicides (e.g., propiconazole, tebuconazole) at label doses. Practice field sanitation, avoid water stagnation, and maintain plant spacing for airflow. Keep records of inputs and yields each season to refine your plan.","agriculture,disease,farming,groundnut,india,rust,sandy"
Pest,mustard,downy mildew,Which irrigation method saves the most water for mustard without reducing yield?,"Common pests in mustard include aphids, painted bug, leaf miner. Monitor with pheromone traps (10–12/ha). Use need-based sprays: emamectin benzoate or spinosad for larvae; imidacloprid for sucking pests. Preserve natural enemies; avoid broad-spectrum sprays early. Keep records of inputs and yields each season to refine your plan.","agriculture,black,downy mildew,farming,india,mustard,pest"
Irrigation,sunflower,alternaria leaf spot,What is a good NPK plan for sunflower to avoid lodging and disease?,"In sunflower, schedule irrigation based on soil type: sandy soils need frequent light irrigation; clay soils need fewer but deeper irrigations. Use tensiometer at 15–20 cm depth; irrigate at −20 to −30 kPa. Avoid drought at flowering to prevent yield loss.","agriculture,alternaria leaf spot,farming,india,irrigation,laterite,sunflower"
Weather,bajra,downy mildew,Which irrigation method saves the most water for bajra without reducing yield?,"Heavy rain during flowering of bajra causes pollen wash and yield loss. Ensure drainage, use raised beds, and avoid late nitrogen. If lodging risk exists, reduce N and increase K. Keep records of inputs and yields each season to refine your plan.","agriculture,bajra,downy mildew,farming,india,red,weather"
Soil,jowar,leaf blight,What are good intercropping options with jowar to increase income?,"In jowar, heavy clay soils need raised beds and proper drainage. Sandy soils benefit from mulching and frequent light irrigations. Loamy soils are ideal; maintain OC with crop residues and manures. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,jowar,laterite,leaf blight,soil"
Government Scheme,ragi,bacterial leaf streak,"What soil type and pH are ideal for ragi, and how do I improve my soil?","Farmers growing ragi can benefit from PM-KISAN (₹6,000/year), Kisan Credit Card (subsidized interest), and Soil Health Card (free soil testing). Check with your local agriculture office or CSC for enrollment. Crop insurance under PMFBY is also available. Keep records of inputs and yields each season to refine your plan.","agriculture,bacterial leaf streak,farming,government_scheme,india,laterite,ragi"
Harvesting,gram,wilt,What are good intercropping options with gram to increase income?,"Harvest gram at physiological maturity: grains at 20–22% moisture, pods when 80–90% brown. Avoid delayed harvest to reduce shattering and field losses. Use combine harvesters where feasible; dry grains to 12–14% before storage. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,farming,gram,harvesting,india,wilt"
Marketing,pigeon pea,pod borer damage,"What are the signs of Zn, B, or S deficiency in pigeon pea and how do I correct them?","For pigeon pea, PMFBY provides yield-based insurance at low premium. Enroll through banks or CSC before sowing. Maintain plot-wise records and cooperate during crop cutting experiments for claim settlement. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,loamy,marketing,pigeon pea,pod borer damage"
Organic Farming,green gram,powdery mildew,What are effective weed control methods for green gram that are safe and cheap?,"In green gram, organic systems need strong IPM: traps, biocontrol agents, and botanicals. Ensure adequate K and micronutrients from organic sources. Plan harvest and post-harvest to maintain organic integrity. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,farming,green gram,india,organic_farming,powdery mildew"
Yield Improvement,black gram,powdery mildew,What are good intercropping options with black gram to increase income?,"For black gram, target 10–15% higher yield by adopting improved varieties, micro-irrigation, and INM. Ensure timely sowing, proper spacing, and timely weeding. Use foliar nutrients at critical stages. Keep records of inputs and yields each season to refine your plan.","agriculture,black gram,farming,india,powdery mildew,sandy,yield_improvement"
Seed Selection,banana,banana bunchy top virus,What weather conditions harm banana and how do I protect my crop?,"For banana, seed treatment reduces seed-borne diseases. Use hot water treatment or solarization for some crops. Label bags with variety, lot, and date. Keep records of inputs and yields each season to refine your plan.","agriculture,banana,banana bunchy top virus,farming,india,loamy,seed_selection"
Storage,mango,powdery mildew,Which government schemes can I use for mango cultivation and marketing?,"In mango, high moisture leads to mold and mycotoxins. Dry to safe levels, use moisture-proof liners, and keep bags off the floor on pallets. Inspect regularly for pests and dampness. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,mango,powdery mildew,red,storage"
Post-Harvest,papaya,anthracnose,"How can I control fruit fly, aphids, mites, whitefly in papaya using IPM and reduce chemical sprays?","Store papaya grains at 12–14% moisture in clean, dry, rodent-proof structures. Treat storage area with malathion dust. Use hermetic bags or PICS bags for pulses. Fumigate with aluminum phosphide if needed, following safety protocols. Keep records of inputs and yields each season to refine your plan.","agriculture,anthracnose,farming,india,laterite,papaya,post-harvest"
Mechanization,grapes,powdery mildew,Which government schemes can I use for grapes cultivation and marketing?,"In grapes, drip fertigation systems improve input efficiency. Use filters and pressure regulators; flush lines regularly. Schedule irrigation based on soil moisture and crop stage. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,grapes,india,laterite,mechanization,powdery mildew"
Intercropping,pomegranate,leaf spot,Which irrigation method saves the most water for pomegranate without reducing yield?,"In pomegranate, intercropping breaks pest cycles and improves biodiversity. Select crops with different canopy heights and root depths. Monitor for pest shifts and adjust management. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,intercropping,laterite,leaf spot,pomegranate"
Crop Rotation,citrus,powdery mildew,What GAP should I follow for citrus to meet market and export standards?,"For citrus, integrate livestock or agroforestry in rotations for diversification. Use manure and compost to recycle nutrients. Monitor soil tests to adjust rotations. Keep records of inputs and yields each season to refine your plan.","agriculture,citrus,crop_rotation,farming,india,powdery mildew,red"
Water Conservation,turmeric,thrips damage,When and how should I harvest turmeric to get maximum yield and quality?,"For turmeric, line canals and use pipes to reduce conveyance losses. Adopt laser leveling for uniform water distribution. Train farmers on efficient irrigation practices. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,loamy,thrips damage,turmeric,water_conservation"
Micronutrients,ginger,soft rot,How do I practice organic farming in ginger without losing yield?,"Zn deficiency in ginger shows as interveinal chlorosis and stunting. Apply ZnSO4 (20–25 kg/ha) basally or foliar 0.5% ZnSO4 + 0.25% lime. In alkaline soils, band Zn near roots for better uptake. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,ginger,india,micronutrients,red,soft rot"
NPK Management,garlic,rust,What water conservation practices work best for garlic in my area?,"In garlic, high K improves water use efficiency and disease resistance. Apply K in splits; avoid late heavy K. Use SOP or MOP based on crop and soil Cl tolerance. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,farming,garlic,india,npk_management,rust"
IPM,coriander,bacterial leaf spot,"What are the signs of Zn, B, or S deficiency in coriander and how do I correct them?","In coriander, light traps and bird perches help manage nocturnal pests. Maintain field hygiene and remove weed hosts. Use need-based sprays only when ETL is crossed. Keep records of inputs and yields each season to refine your plan.","agriculture,bacterial leaf spot,coriander,farming,india,ipm,laterite"
Weed Management,cumin,aphid damage,How do I practice organic farming in cumin without losing yield?,"In cumin, integrate cultural (crop rotation, cover crops), mechanical (hoeing), and chemical weed control. Use herbicide-tolerant varieties where available. Rotate herbicide modes of action to prevent resistance. Keep records of inputs and yields each season to refine your plan.","agriculture,aphid damage,cumin,farming,india,red,weed_management"
Protected Cultivation,rice,sheath blight,When and how should I harvest rice to get maximum yield and quality?,"For rice, polyhouses improve yield and quality. Install fans and foggers for climate control. Use reflective mulch and trellising for better light distribution. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,protected_cultivation,rice,sandy,sheath blight"
Greenhouse,wheat,loose smut,How do I implement IPM in wheat step by step?,"In wheat, hydroponics saves water and nutrients. Maintain EC and pH in recommended ranges. Use sterile media and prevent root diseases with sanitation. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,greenhouse,india,loose smut,red,wheat"
Hydroponics,maize,banded leaf and sheath blight,How do I move towards regenerative agriculture in maize?,"For maize, polyhouses improve yield and quality. Install fans and foggers for climate control. Use reflective mulch and trellising for better light distribution. Keep records of inputs and yields each season to refine your plan.","agriculture,banded leaf and sheath blight,farming,hydroponics,india,maize,sandy"
Carbon Farming,cotton,bacterial blight,How do I store cotton grains safely to avoid pests and mold?,"In cotton, reduced tillage and mulching improve SOC and water retention. Avoid burning residues; incorporate or use for mulch. Align with national carbon initiatives. Keep records of inputs and yields each season to refine your plan.","agriculture,bacterial blight,carbon_farming,clay,cotton,farming,india"
Regenerative Agriculture,sugarcane,leaf scald,How do I implement IPM in sugarcane step by step?,"In sugarcane, regenerative practices improve long-term profitability. Reduce external inputs, increase on-farm nutrient cycling, and maintain soil cover. Document practices for learning and scaling. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,farming,india,leaf scald,regenerative_agriculture,sugarcane"
GAP,soybean,yellow mosaic virus,When and how should I harvest soybean to get maximum yield and quality?,"In soybean, GAP reduces risks and builds buyer trust. Regularly audit practices and update SOPs. Engage with buyers to understand quality standards. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,gap,india,loamy,soybean,yellow mosaic virus"
Insurance,tomato,powdery mildew,What carbon farming practices can I adopt in tomato fields?,"In tomato, combine insurance with savings and credit for resilience. Diversify crops and income sources. Seek advisory on risk reduction and insurance options. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,insurance,powdery mildew,red,tomato"
Fertilizer,potato,late blight,How can I increase yield in potato with better agronomy and protection?,"Use 60–100 kg N/ha for potato depending on rainfall and soil. Apply basal NPK (12:32:16 or 15:15:15) at 150–200 kg/ha at sowing, then top-dress urea in 2–3 splits. Include 20–25 kg/ha ZnSO4 where soils are alkaline. For irrigated conditions, split N at vegetative, flowering, and pod/fruit setting. In rainfed areas, use slow-release N and mulch to reduce losses.","agriculture,farming,fertilizer,india,late blight,potato,sandy"
Disease,onion,bacterial rot,How do I practice organic farming in onion without losing yield?,"In onion, bacterial rot shows soft, mushy rot with foul smell. Prevent by using certified seeds, crop rotation, and balanced NPK. For fungal diseases, spray mancozeb 0.25% or carbendazim 0.1% at first sign. Improve drainage and avoid late evening irrigation. Remove infected debris.","agriculture,bacterial rot,clay,disease,farming,india,onion"
Pest,chilli,powdery mildew,How do I select and treat seeds for chilli to improve germination?,"For chilli, adopt IPM: pheromone traps, light traps, and bird perches. Spray only when ETL is reached. Use neem oil 3% or NSKE 5% for early infestations. Rotate insecticide groups to prevent resistance. Keep records of inputs and yields each season to refine your plan.","agriculture,chilli,farming,india,pest,powdery mildew,sandy"
Irrigation,brinjal,little leaf virus,Which government schemes can I use for brinjal cultivation and marketing?,"Use 4–6 irrigations for brinjal depending on soil and rainfall. First irrigation 20–25 days after sowing, then at tillering, flowering, and grain filling. Drip/fertigation saves 30–40% water and improves uniformity. Mulching reduces evaporation. Avoid late heavy irrigation to prevent lodging.","agriculture,brinjal,farming,india,irrigation,little leaf virus,red"
Weather,cabbage,clubroot,How do I implement IPM in cabbage step by step?,"In cabbage, avoid sowing during heatwaves (>38°C). Use early-morning irrigation and mulch to reduce heat stress. For cold waves, ensure adequate soil moisture and avoid late nitrogen. Watch IMD advisories for rainfall and temperature. Keep records of inputs and yields each season to refine your plan.","agriculture,cabbage,clay,clubroot,farming,india,weather"
Soil,cauliflower,clubroot,How do I select and treat seeds for cauliflower to improve germination?,"In cauliflower, heavy clay soils need raised beds and proper drainage. Sandy soils benefit from mulching and frequent light irrigations. Loamy soils are ideal; maintain OC with crop residues and manures. Keep records of inputs and yields each season to refine your plan.","agriculture,cauliflower,clubroot,farming,india,loamy,soil"
Government Scheme,okra,anthracnose,Which machines or implements are useful for okra to save labor and time?,"For okra, PMFBY provides yield-based insurance at low premium. Enroll through banks or CSC before sowing. Maintain plot-wise records and cooperate during crop cutting experiments for claim settlement. Keep records of inputs and yields each season to refine your plan.","agriculture,anthracnose,farming,government_scheme,india,loamy,okra"
Harvesting,groundnut,collar rot,What is a good NPK plan for groundnut to avoid lodging and disease?,"In groundnut, timely harvest improves market price. Use mechanical threshers where possible. Dry to safe moisture, clean, and store in hermetic bags or silos to prevent pests and mold. Keep records of inputs and yields each season to refine your plan.","agriculture,black,collar rot,farming,groundnut,harvesting,india"
Marketing,mustard,powdery mildew,Which irrigation method saves the most water for mustard without reducing yield?,"Farmers growing mustard can benefit from PM-KISAN (₹6,000/year), Kisan Credit Card (subsidized interest), and Soil Health Card (free soil testing). Check with your local agriculture office or CSC for enrollment. Crop insurance under PMFBY is also available. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,marketing,mustard,powdery mildew,sandy"
Organic Farming,sunflower,rust,What carbon farming practices can I adopt in sunflower fields?,"For organic sunflower, use Jeevamrut, Panchagavya, and Amritpani as foliar sprays. Manage weeds mechanically and through mulching. Build soil health with diverse rotations and cover crops. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,organic_farming,rust,sandy,sunflower"
Yield Improvement,bajra,smut,What water conservation practices work best for bajra in my area?,"To improve yield in bajra, use certified seeds, optimal plant population, and balanced NPK. Manage pests/diseases proactively and avoid water stress at flowering. Harvest at correct maturity and dry properly. Keep records of inputs and yields each season to refine your plan.","agriculture,bajra,farming,india,sandy,smut,yield_improvement"
Seed Selection,jowar,rust,What carbon farming practices can I adopt in jowar fields?,"For jowar, seed treatment reduces seed-borne diseases. Use hot water treatment or solarization for some crops. Label bags with variety, lot, and date. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,jowar,rust,sandy,seed_selection"
Storage,ragi,smut,What are effective weed control methods for ragi that are safe and cheap?,"Store ragi grains at 12–14% moisture in clean, dry, rodent-proof structures. Treat storage area with malathion dust. Use hermetic bags or PICS bags for pulses. Fumigate with aluminum phosphide if needed, following safety protocols. Keep records of inputs and yields each season to refine your plan.","agriculture,clay,farming,india,ragi,smut,storage"
Post-Harvest,gram,wilt,Which government schemes can I use for gram cultivation and marketing?,"For gram, ensure produce is dry and clean before storage. Avoid mixing old and new stock. Use neem leaves or botanicals in small stores. Monitor temperature and humidity; aerate if needed. Keep records of inputs and yields each season to refine your plan.","agriculture,black,farming,gram,india,post-harvest,wilt"
Mechanization,pigeon pea,pod borer damage,Which machines or implements are useful for pigeon pea to save labor and time?,"For pigeon pea, post-harvest mechanization (threshers, graders, dryers) improves quality and reduces losses. Clean and maintain equipment after each season. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,mechanization,pigeon pea,pod borer damage,sandy"
Intercropping,green gram,bacterial leaf spot,How should I plan crop rotation with green gram to improve soil health?,"For green gram, intercropping with short-duration vegetables increases land productivity. Plan sowing dates to avoid competition. Use balanced fertilizers and timely weeding. Keep records of inputs and yields each season to refine your plan.","agriculture,bacterial leaf spot,farming,green gram,india,intercropping,sandy"
Crop Rotation,black gram,alternaria leaf spot,How do I implement IPM in black gram step by step?,"For black gram, integrate livestock or agroforestry in rotations for diversification. Use manure and compost to recycle nutrients. Monitor soil tests to adjust rotations. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,alternaria leaf spot,black gram,crop_rotation,farming,india"
Water Conservation,banana,banana bunchy top virus,Which machines or implements are useful for banana to save labor and time?,"For banana, use alternate wetting and drying (AWD) where feasible. Recycle field drainage and harvest rainwater in ponds. Maintain field bunds and channels. Keep records of inputs and yields each season to refine your plan.","agriculture,banana,banana bunchy top virus,farming,india,sandy,water_conservation"
Micronutrients,mango,bacterial canker,How do I select and treat seeds for mango to improve germination?,"Zn deficiency in mango shows as interveinal chlorosis and stunting. Apply ZnSO4 (20–25 kg/ha) basally or foliar 0.5% ZnSO4 + 0.25% lime. In alkaline soils, band Zn near roots for better uptake. Keep records of inputs and yields each season to refine your plan.","agriculture,bacterial canker,black,farming,india,mango,micronutrients"
NPK Management,papaya,anthracnose,Which irrigation method saves the most water for papaya without reducing yield?,"Balanced NPK in papaya improves yield and stress tolerance. Use soil test-based doses; typical ranges: N 80–120, P2O5 40–60, K2O 40–60 kg/ha. Split N in 2–3 doses; place P and K basally near seed. Keep records of inputs and yields each season to refine your plan.","agriculture,anthracnose,farming,india,laterite,npk_management,papaya"
IPM,grapes,powdery mildew,How do I practice organic farming in grapes without losing yield?,"For grapes, combine mechanical (handpicking), biological (parasitoids), and chemical controls. Calibrate sprayers; apply at correct growth stage. Follow pre-harvest intervals and safety norms. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,farming,grapes,india,ipm,powdery mildew"
Weed Management,pomegranate,fruit rot,When and how should I harvest pomegranate to get maximum yield and quality?,"In pomegranate, avoid waterlogging which favors weeds. Use narrow row spacing and early canopy closure to suppress weeds. Scout fields regularly and remove weeds before seed set. Keep records of inputs and yields each season to refine your plan.","agriculture,clay,farming,fruit rot,india,pomegranate,weed_management"
Protected Cultivation,citrus,anthracnose,How do I select and treat seeds for citrus to improve germination?,"Protected cultivation (shade nets, low tunnels) in citrus reduces pest and weather damage. Use drip fertigation and mulch. Monitor temperature and humidity to prevent diseases. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,anthracnose,citrus,farming,india,protected_cultivation"
Greenhouse,turmeric,bacterial leaf streak,How do I move towards regenerative agriculture in turmeric?,"For turmeric, polyhouses improve yield and quality. Install fans and foggers for climate control. Use reflective mulch and trellising for better light distribution. Keep records of inputs and yields each season to refine your plan.","agriculture,bacterial leaf streak,farming,greenhouse,india,sandy,turmeric"
Hydroponics,ginger,rhizome rot,How do I practice organic farming in ginger without losing yield?,"Protected cultivation (shade nets, low tunnels) in ginger reduces pest and weather damage. Use drip fertigation and mulch. Monitor temperature and humidity to prevent diseases. Keep records of inputs and yields each season to refine your plan.","agriculture,black,farming,ginger,hydroponics,india,rhizome rot"
Carbon Farming,garlic,white rot,"What are the signs of Zn, B, or S deficiency in garlic and how do I correct them?","Carbon farming in garlic includes no-till, cover crops, and residue retention. Measure soil organic carbon and adopt practices that increase it. Explore carbon credits via verified programs. Keep records of inputs and yields each season to refine your plan.","agriculture,black,carbon_farming,farming,garlic,india,white rot"
Regenerative Agriculture,coriander,stem gall,How do I store coriander grains safely to avoid pests and mold?,"In coriander, combine traditional knowledge with modern science for regenerative outcomes. Use participatory trials and share results with neighbors. Seek technical support from agriculture departments. Keep records of inputs and yields each season to refine your plan.","agriculture,coriander,farming,india,regenerative_agriculture,sandy,stem gall"
GAP,cumin,powdery mildew,What weather conditions harm cumin and how do I protect my crop?,"In cumin, GAP improves product quality and reduces residues. Implement standard operating procedures for spraying, harvesting, and packing. Seek certification where markets demand it. Keep records of inputs and yields each season to refine your plan.","agriculture,cumin,farming,gap,india,loamy,powdery mildew"
Insurance,rice,sheath blight,How can I increase yield in rice with better agronomy and protection?,"For rice, insurance complements good agronomy. Keep plot-wise records and photos of damage. Understand exclusions and claim processes. Pay premiums on time. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,insurance,laterite,rice,sheath blight"
