State,District,Market,Crop,Variety,Arrival_Tonnes,Modal_Price,Min_Price,Max_Price,Price_Trend,Demand,Supply,Quality,MSP_Available,Export_Demand,Storage_Available,Season,Weather_Impact,Transport_Cost_Per_Tonne,Distance_From_Farm_KM,Market_Rating,Best_Time_To_Sell,Expected_Price_7_Days,Expected_Price_30_Days,Last_Updated
Haryana,Karnal,Chennai,Maize,Yellow Maize,3692,1720,1381,2125,Stable,High,High,Good,Yes,Low,No,Rabi,Flood,1877,151,3.6,Next Week,1738,1749,2026-07-29
Gujarat,Rajkot,Sangli,Cotton,MCU-5,2342,4150,3500,4785,Stable,Low,High,Average,No,High,Yes,Rabi,Drought,883,164,4.2,Next Week,4156,3963,2026-08-02
Rajasthan,Jaipur,Nashik,Mango,Alphonso Mango,1796,5535,4709,7227,Stable,Medium,High,Average,No,Low,No,Zaid,Heavy Rain,3022,106,4.4,Within 10 Days,5603,5301,2026-07-26
Andhra Pradesh,Visakhapatnam,Pune,Turmeric,High Curcumin Turmeric,1321,5073,4004,5785,Falling,Low,Low,Average,No,Low,No,Perennial,Flood,1802,363,4.8,Next Week,4907,4759,2026-07-26
Rajasthan,Jaipur,Pune,Groundnut,TL-001,7892,4637,3578,5136,Falling,Medium,High,Average,Yes,Medium,No,Kharif,Normal,2774,277,3.9,Hold for 30 Days,4381,4229,2026-07-25
Gujarat,Kheda,Ludhiana,Maize,Yellow Maize,11421,1450,1171,1837,Stable,Low,Medium,Premium,Yes,Medium,No,Kharif,Heatwave,4092,171,4.1,Hold for 15 Days,1431,1516,2026-08-01
Andhra Pradesh,Kurnool,Chennai,Mango,Dasheri Mango,2691,4919,3805,6083,Rising,Low,High,Average,Yes,High,Yes,Rabi,Flood,4010,277,3.6,Hold for 30 Days,5187,5261,2026-07-23
Chhattisgarh,Rajnandgaon,Solapur,Garlic,G-282,5690,10687,8749,11910,Stable,High,Low,Good,Yes,High,No,Kharif,Cold Wave,306,365,4.1,Next Week,10520,10454,2026-08-02
Punjab,Hoshiarpur,Kolkata,Mango,Bangalora Mango,11711,4732,3718,5332,Falling,Medium,Medium,Premium,Yes,Medium,No,Zaid,Normal,3717,83,3.6,Within 10 Days,4389,4027,2026-07-23
Maharashtra,Kolhapur,Patna,Groundnut,Phule Pragati,606,4830,4356,6123,Falling,High,High,Good,Yes,Low,No,Perennial,Flood,4822,235,3.8,Within 3 Days,4497,4397,2026-07-24
Rajasthan,Bikaner,Kolkata,Millet,Ragi Millet,3845,1193,1009,1515,Rising,Low,Low,Premium,No,Medium,Yes,Rabi,Flood,4612,389,4.6,Hold for 15 Days,1253,1315,2026-07-24
Karnataka,Dharwad,Guntur,Maize,Vivek Hybrid,8884,1063,893,1151,Rising,Low,Medium,Good,No,Low,No,Perennial,Cold Wave,3191,155,3.6,Today,1128,1179,2026-07-29
Odisha,Koraput,Sangli,Wheat,WH-1105,2418,4723,4191,5896,Stable,High,Low,Good,No,High,Yes,Rabi,Flood,4441,44,4.7,Next Week,4676,4777,2026-07-29
West Bengal,Siliguri,Lasalgaon,Cotton,Bunny Bt,9745,3834,3402,4411,Falling,Low,High,Average,Yes,Low,No,Rabi,Heatwave,4620,21,3.7,Today,3749,3487,2026-07-31
West Bengal,Haldia,Bhopal,Grapes,Manik Chaman,10874,3369,2857,4404,Rising,Medium,Low,Premium,No,Low,Yes,Kharif,Heatwave,1672,242,3.8,Next Week,3532,3856,2026-07-25
Punjab,Hoshiarpur,Chennai,Mango,Chausa Mango,2428,5887,5213,6965,Falling,Low,Medium,Good,Yes,High,Yes,Zaid,Normal,3837,317,4.8,Next Week,5534,5161,2026-08-01
Haryana,Sonipat,Ludhiana,Turmeric,Nanded Turmeric,4011,5262,4248,6663,Rising,Low,Low,Premium,No,Low,Yes,Kharif,Cold Wave,856,11,3.8,Hold for 30 Days,5400,5759,2026-07-30
Odisha,Sambalpur,Sangli,Tomato,Hybrid Tomato,2587,2160,1969,2704,Stable,High,High,Average,Yes,Low,Yes,Rabi,Heavy Rain,3379,341,4.5,Within 10 Days,2165,2260,2026-08-01
Odisha,Rourkela,Sangli,Garlic,G-282,1290,5226,4148,6745,Falling,Low,Medium,Good,Yes,Medium,No,Perennial,Cold Wave,3025,35,3.5,Next Week,4863,4478,2026-07-30
Andhra Pradesh,Chittoor,Hubli,Groundnut,TL-001,8907,2911,2634,3706,Stable,Medium,High,Premium,Yes,Low,Yes,Kharif,Heatwave,4980,377,3.5,Hold for 15 Days,2854,2910,2026-07-23
Telangana,Hyderabad,Warangal,Wheat,WH-1105,1141,2801,2346,3735,Falling,High,Low,Good,No,Medium,No,Perennial,Flood,874,281,3.5,Hold for 15 Days,2737,2609,2026-07-26
Karnataka,Raichur,Hyderabad,Banana,Rasthali,5011,1516,1231,1986,Stable,Medium,High,Good,Yes,Low,No,Zaid,Cold Wave,1963,95,4.1,Hold for 15 Days,1525,1485,2026-07-27
Chhattisgarh,Bhilai,Mysuru,Banana,Poovan,3675,1518,1147,1649,Rising,Low,Medium,Average,Yes,Low,No,Perennial,Heavy Rain,816,281,4.3,Hold for 15 Days,1596,1720,2026-07-26
Maharashtra,Nashik,Indore,Wheat,Lokwan Wheat,751,4297,3557,5427,Stable,Medium,High,Average,Yes,High,Yes,Kharif,Cold Wave,602,381,3.3,Within 10 Days,4214,4471,2026-07-24
Maharashtra,Nagpur,Kolkata,Sugarcane,Co-86032 Sugarcane,10415,551,429,683,Falling,High,Medium,Premium,Yes,High,No,Rabi,Heatwave,816,108,3.9,Within 10 Days,529,486,2026-07-23
Andhra Pradesh,Nellore,Kolhapur,Chilli,Byadgi Chilli,2479,6378,4936,7603,Rising,High,Medium,Average,No,High,Yes,Perennial,Heavy Rain,2295,302,3.1,Today,6808,7100,2026-07-27
Bihar,Bhagalpur,Lasalgaon,Groundnut,TL-001,79,4100,3365,5321,Stable,High,High,Good,Yes,Low,Yes,Rabi,Heavy Rain,2519,272,3.9,Within 3 Days,4171,4145,2026-08-02
Andhra Pradesh,Visakhapatnam,Kolkata,Groundnut,T-64,2618,5084,4016,5652,Rising,Medium,Medium,Average,Yes,Medium,No,Rabi,Heavy Rain,4102,399,4.3,Within 3 Days,5270,5436,2026-07-31
Telangana,Adilabad,Guntur,Soybean,JS-335,756,3578,2947,4187,Falling,High,Low,Good,Yes,Medium,Yes,Kharif,Cold Wave,4702,95,3.3,Today,3395,3082,2026-07-30
Odisha,Baripada,Ahmedabad,Chilli,Mathania Chilli,11139,4617,3539,5906,Falling,Medium,High,Premium,No,High,Yes,Kharif,Heatwave,4158,304,4.0,Hold for 15 Days,4287,4352,2026-07-26
Gujarat,Gandhinagar,Kota,Sugarcane,Co-15018,3231,310,239,392,Rising,Low,Medium,Premium,No,Medium,Yes,Kharif,Cold Wave,4113,239,3.8,Next Week,320,334,2026-07-31
Bihar,Munger,Visakhapatnam,Soybean,Co-1,3552,3519,3155,4006,Stable,High,High,Good,No,Medium,No,Kharif,Drought,3807,381,4.7,Within 3 Days,3494,3546,2026-07-24
Gujarat,Patan,Visakhapatnam,Rice,Ponni Rice,214,3897,3274,4713,Rising,Medium,Low,Average,Yes,Low,No,Perennial,Heavy Rain,2270,47,4.1,Today,4137,4250,2026-07-30
Gujarat,Bhavnagar,Solapur,Potato,Kufri Chipsona,115,1694,1517,2171,Rising,Medium,Low,Premium,No,Medium,No,Rabi,Heavy Rain,3620,99,4.6,Next Week,1791,1897,2026-08-02
West Bengal,Howrah,Ludhiana,Chilli,Jwala Chilli,1264,7243,6140,8227,Stable,Medium,Medium,Average,Yes,Low,No,Kharif,Heavy Rain,4516,350,3.7,Today,7130,7145,2026-07-24
Maharashtra,Solapur,Kota,Soybean,PK-416,2937,3393,3110,3883,Rising,High,Low,Premium,No,Low,Yes,Rabi,Drought,2925,185,4.8,Hold for 30 Days,3599,3656,2026-08-01
Uttar Pradesh,Bareilly,Salem,Groundnut,T-64,3447,5729,5172,6886,Stable,High,Medium,Good,Yes,Low,Yes,Perennial,Drought,1015,46,3.8,Within 3 Days,5680,5990,2026-08-01
Gujarat,Amreli,Nashik,Sugarcane,Co-15018,3396,396,362,485,Falling,Low,Low,Premium,No,High,No,Perennial,Heatwave,3936,382,4.3,Next Week,368,337,2026-07-30
West Bengal,Burdwan,Mysuru,Chilli,Mathania Chilli,1454,6678,5964,8015,Falling,Low,Low,Good,Yes,Medium,No,Rabi,Drought,2429,121,4.0,Next Week,6452,5707,2026-07-28
Haryana,Kaithal,Hubli,Soybean,PK-416,1218,3895,3447,4376,Stable,High,High,Premium,Yes,Low,No,Rabi,Drought,3911,138,3.7,Within 3 Days,3904,3713,2026-07-28
Uttar Pradesh,Lucknow,Kota,Turmeric,Rajapur Turmeric,8793,7239,6043,8102,Falling,Medium,High,Good,No,High,Yes,Kharif,Heatwave,4774,264,3.7,Within 10 Days,6788,6801,2026-07-24
Telangana,Nizamabad,Varanasi,Turmeric,Erode Turmeric,1890,5868,4950,6825,Rising,Low,Medium,Good,Yes,High,No,Zaid,Cold Wave,1057,172,3.1,Within 10 Days,6054,6470,2026-07-29
Punjab,Ludhiana,Pune,Pulses,Masoor Dal,11052,9508,7644,11821,Rising,High,Low,Premium,No,Medium,No,Rabi,Cold Wave,3803,194,3.8,Today,9860,10317,2026-07-26
West Bengal,Burdwan,Pune,Tomato,Arka Saurabh,3087,4500,3931,5950,Rising,Medium,Medium,Average,No,Medium,Yes,Kharif,Flood,1476,111,3.6,Hold for 30 Days,4856,4754,2026-07-24
Bihar,Arrah,Pune,Rice,Ponni Rice,4528,4238,3587,5623,Falling,Medium,High,Premium,Yes,Low,No,Zaid,Cold Wave,4837,256,3.1,Next Week,4111,3731,2026-07-25
Odisha,Baripada,Nagpur,Rice,Basmati Rice,4353,2538,2185,3352,Falling,Medium,Low,Good,Yes,Low,No,Rabi,Heatwave,533,66,4.5,Hold for 15 Days,2486,2174,2026-07-28
Andhra Pradesh,Prakasam,Ahmedabad,Grapes,Sharad Seedless,11287,5200,4547,5640,Falling,Medium,Low,Good,Yes,High,Yes,Rabi,Cold Wave,2918,241,4.8,Within 3 Days,4895,4447,2026-07-28
Madhya Pradesh,Ujjain,Azadpur,Garlic,AGT-1,2667,6958,6123,8639,Stable,High,Low,Premium,No,High,No,Zaid,Drought,2523,355,4.4,Next Week,6845,7013,2026-07-31
Maharashtra,Kolhapur,Kurnool,Garlic,AGT-1,1737,4717,3941,6153,Rising,Medium,High,Average,Yes,High,No,Perennial,Flood,925,64,4.6,Today,4947,5099,2026-07-28
Gujarat,Kheda,Visakhapatnam,Millet,Ragi Millet,11680,1489,1149,1887,Rising,Medium,High,Average,Yes,Low,No,Rabi,Heatwave,2019,71,5.0,Hold for 15 Days,1580,1680,2026-08-01
Maharashtra,Jalna,Bhopal,Grapes,Thompson Grapes,1816,3088,2562,4092,Stable,High,Low,Premium,Yes,Low,No,Kharif,Heatwave,1090,68,4.8,Within 3 Days,3098,2995,2026-07-23
Uttar Pradesh,Agra,Pune,Sugarcane,Co-13006,9548,479,378,591,Stable,Medium,Medium,Premium,Yes,High,Yes,Rabi,Normal,2608,92,4.8,Hold for 30 Days,469,489,2026-07-30
Chhattisgarh,Ambikapur,Coimbatore,Groundnut,K-6,9706,4070,3630,5473,Rising,High,Medium,Good,Yes,Low,Yes,Perennial,Cold Wave,1224,394,5.0,Today,4265,4485,2026-07-26
Bihar,Purnia,Kolkata,Garlic,G-4,715,7649,6105,9500,Rising,High,Medium,Good,No,Medium,Yes,Perennial,Cold Wave,2680,224,3.4,Today,8212,8645,2026-07-23
Uttar Pradesh,Lucknow,Lasalgaon,Groundnut,Phule Pragati,1673,3462,2666,4108,Stable,Medium,Low,Average,Yes,Low,Yes,Kharif,Heavy Rain,3279,106,3.7,Hold for 30 Days,3509,3428,2026-07-30
West Bengal,Kharagpur,Patna,Groundnut,K-6,9584,3619,3006,4497,Falling,Low,Medium,Good,No,Low,No,Rabi,Cold Wave,4024,60,3.2,Hold for 15 Days,3437,3303,2026-07-31
Maharashtra,Pune,Patna,Wheat,Basmati Wheat,2827,3662,2841,4569,Stable,High,High,Premium,Yes,Medium,No,Perennial,Flood,1954,155,4.3,Hold for 15 Days,3662,3677,2026-07-25
Tamil Nadu,Salem,Bhopal,Wheat,PBW-343,1621,4082,3086,4603,Falling,Medium,Medium,Average,No,Medium,Yes,Perennial,Heavy Rain,3828,73,3.6,Hold for 15 Days,3874,3514,2026-07-23
Rajasthan,Sikar,Chennai,Pulses,Chana Dal,1999,5130,4077,6359,Rising,Low,High,Good,No,Low,No,Zaid,Flood,803,19,4.2,Within 3 Days,5490,5565,2026-07-24
Maharashtra,Solapur,Ludhiana,Cotton,PKV Rajat,5905,4950,3920,6212,Stable,Medium,Medium,Average,Yes,High,Yes,Zaid,Normal,1237,177,3.3,Hold for 30 Days,4915,4930,2026-07-27
Andhra Pradesh,Nellore,Visakhapatnam,Grapes,Sharad Seedless,2900,4533,3839,5290,Falling,Medium,Low,Premium,No,High,Yes,Rabi,Heavy Rain,3052,259,4.0,Within 10 Days,4262,4131,2026-07-28
Madhya Pradesh,Jabalpur,Guntur,Maize,HQPM-1,4758,1179,1045,1472,Stable,Medium,High,Premium,Yes,Medium,No,Zaid,Heatwave,851,295,4.6,Hold for 15 Days,1175,1160,2026-08-01
Telangana,Khammam,Kurnool,Garlic,G-282,8896,5002,4282,6014,Falling,Medium,High,Average,Yes,Medium,Yes,Rabi,Cold Wave,4389,114,4.3,Within 10 Days,4883,4385,2026-07-23
Tamil Nadu,Dindigul,Coimbatore,Grapes,Flame Seedless,10318,5695,4414,6381,Falling,High,Low,Average,No,High,No,Perennial,Cold Wave,2910,37,4.3,Hold for 15 Days,5330,5004,2026-07-31
Haryana,Sonipat,Nagpur,Mango,Langra Mango,664,5009,4170,6750,Falling,High,High,Good,Yes,High,Yes,Rabi,Heavy Rain,2534,74,3.1,Next Week,4806,4345,2026-08-02
Odisha,Baripada,Varanasi,Rice,Basmati Rice,1335,5117,4153,6434,Falling,Low,Medium,Premium,No,High,Yes,Rabi,Heavy Rain,1216,297,4.5,Today,4867,4773,2026-07-25
Haryana,Kaithal,Visakhapatnam,Maize,White Maize,550,1299,1152,1663,Stable,Medium,Medium,Good,Yes,Low,Yes,Kharif,Drought,1734,114,4.9,Hold for 15 Days,1294,1346,2026-08-02
Rajasthan,Sikar,Kota,Cotton,Surabhi,1785,4952,4019,6305,Falling,Medium,Low,Good,Yes,High,Yes,Kharif,Drought,2263,134,4.1,Next Week,4745,4556,2026-07-23
Karnataka,Shivamogga,Coimbatore,Potato,Chandrakhi,82,1082,866,1419,Rising,Medium,Medium,Premium,No,Medium,No,Perennial,Flood,577,145,4.7,Hold for 15 Days,1134,1180,2026-07-28
Odisha,Balasore,Visakhapatnam,Cotton,Bt Cotton,4325,4563,3987,5602,Falling,Low,High,Good,No,Medium,Yes,Kharif,Cold Wave,1805,327,3.9,Within 10 Days,4235,4061,2026-07-23
Haryana,Fatehabad,Ahmedabad,Maize,Hybrid Maize,4139,1651,1404,1965,Rising,Low,Low,Good,No,Low,No,Rabi,Heatwave,2435,93,4.4,Next Week,1763,1766,2026-07-27
Uttar Pradesh,Lucknow,Ludhiana,Mango,Kesar Mango,389,6407,5054,7073,Stable,High,Low,Good,Yes,Low,No,Rabi,Heatwave,707,210,4.2,Hold for 30 Days,6345,6143,2026-07-28
Gujarat,Patan,Nashik,Rice,MTU-1010,1832,2990,2605,3383,Rising,Medium,Low,Good,No,Medium,No,Perennial,Drought,1366,225,4.7,Hold for 30 Days,3088,3385,2026-07-23
Punjab,Hoshiarpur,Hubli,Grapes,Sonaka Grapes,1238,2895,2353,3661,Falling,Medium,High,Good,Yes,Low,Yes,Perennial,Heavy Rain,1391,170,4.9,Hold for 15 Days,2782,2667,2026-07-27
Odisha,Koraput,Sangli,Maize,Hybrid Maize,290,1596,1467,2128,Falling,High,Medium,Average,Yes,High,Yes,Zaid,Drought,4433,322,3.8,Hold for 15 Days,1532,1377,2026-07-25
Maharashtra,Latur,Hubli,Onion,White Onion,2068,2308,2009,2762,Rising,Medium,Medium,Good,Yes,High,No,Kharif,Drought,1347,260,4.7,Next Week,2457,2637,2026-07-29
Chhattisgarh,Durg,Jaipur,Onion,Ratnagiri Red,7189,1631,1377,2167,Falling,High,Medium,Average,No,Low,Yes,Rabi,Normal,1517,32,3.5,Today,1546,1413,2026-07-26
Madhya Pradesh,Kota,Visakhapatnam,Groundnut,TL-001,1510,4505,3464,5740,Falling,Low,Low,Premium,Yes,Medium,No,Kharif,Flood,1968,150,3.4,Within 3 Days,4347,4199,2026-07-24
Chhattisgarh,Dhamtari,Belagavi,Rice,Swarna Rice,789,4525,3466,5288,Falling,Medium,High,Good,Yes,High,No,Zaid,Drought,1168,170,3.3,Today,4287,4166,2026-07-26
Rajasthan,Udaipur,Jaipur,Rice,Sona Masuri,2737,4085,3693,5290,Stable,Low,Medium,Premium,Yes,Medium,Yes,Zaid,Heavy Rain,2947,33,4.5,Hold for 30 Days,4158,4036,2026-07-27
Haryana,Hisar,Nagpur,Mango,Alphonso Mango,3541,3795,3263,5076,Falling,High,High,Premium,Yes,Medium,No,Perennial,Heavy Rain,3841,381,4.6,Next Week,3697,3454,2026-07-28
Telangana,Warangal,Lucknow,Banana,Nendran,8071,2653,2260,2929,Falling,Medium,Medium,Good,No,Medium,Yes,Perennial,Heatwave,3789,52,3.1,Next Week,2595,2434,2026-07-23
Telangana,Nizamabad,Warangal,Groundnut,T-64,10654,3511,2680,4551,Falling,Low,High,Good,Yes,Medium,Yes,Zaid,Cold Wave,2336,272,3.9,Hold for 30 Days,3240,3011,2026-08-02
Tamil Nadu,Chennai,Kurnool,Grapes,Manik Chaman,1953,3416,2710,3764,Falling,Low,Low,Average,Yes,Low,Yes,Perennial,Heavy Rain,1770,98,4.7,Today,3159,3203,2026-07-29
Uttar Pradesh,Moradabad,Patna,Turmeric,Nanded Turmeric,2605,4683,3574,6299,Rising,Medium,Medium,Good,Yes,High,No,Kharif,Flood,347,207,3.2,Within 3 Days,4960,5132,2026-07-27
West Bengal,Jalpaiguri,Patna,Groundnut,K-6,3380,3754,3329,4143,Stable,Low,Medium,Premium,Yes,Low,Yes,Kharif,Drought,430,361,4.9,Today,3710,3809,2026-07-23
Punjab,Hoshiarpur,Lucknow,Pulses,Moong Dal,1282,3310,2548,4381,Falling,Medium,High,Average,No,Medium,No,Perennial,Heavy Rain,460,235,4.2,Within 3 Days,3103,3088,2026-07-27
Maharashtra,Solapur,Lasalgaon,Cotton,NHH-44,7124,5940,5193,8017,Stable,Medium,Medium,Premium,No,Low,No,Perennial,Cold Wave,4505,307,4.4,Within 10 Days,6036,6158,2026-07-30
Odisha,Bhubaneswar,Kurnool,Rice,Ponni Rice,1343,2682,2416,2981,Stable,Low,High,Average,No,Medium,No,Perennial,Drought,470,87,3.6,Within 3 Days,2678,2665,2026-07-25
Punjab,Moga,Warangal,Chilli,Jwala Chilli,10813,5397,4928,7042,Stable,Medium,High,Average,No,Medium,No,Rabi,Cold Wave,1997,149,4.4,Today,5433,5196,2026-07-30
Gujarat,Patan,Guntur,Cotton,PKV Rajat,1293,3699,2999,4255,Rising,High,High,Average,Yes,Low,Yes,Kharif,Flood,821,177,3.9,Hold for 30 Days,3823,4091,2026-07-26
Haryana,Fatehabad,Varanasi,Banana,Grand Naine,1145,3631,2787,3970,Stable,High,Low,Good,No,Low,Yes,Kharif,Drought,1134,292,3.1,Today,3582,3492,2026-07-30
Chhattisgarh,Rajnandgaon,Hubli,Garlic,G-100,3171,4048,3481,4737,Rising,Low,Medium,Premium,Yes,Low,Yes,Perennial,Flood,3705,398,4.5,Within 3 Days,4331,4442,2026-07-29
Tamil Nadu,Coimbatore,Pune,Onion,Nasik Red,6849,1562,1371,1910,Rising,Medium,Low,Premium,Yes,Low,No,Perennial,Cold Wave,3653,239,4.9,Hold for 30 Days,1667,1696,2026-08-02
Rajasthan,Jodhpur,Bhopal,Rice,MTU-1010,3915,3564,3267,4007,Falling,High,High,Premium,No,Medium,Yes,Rabi,Drought,773,328,5.0,Within 10 Days,3466,3376,2026-07-27
Madhya Pradesh,Satna,Coimbatore,Garlic,G-100,5189,7650,6934,9708,Stable,Medium,High,Good,Yes,Medium,No,Zaid,Cold Wave,3613,106,4.8,Today,7508,7523,2026-07-31
Tamil Nadu,Thoothukudi,Solapur,Tomato,Hybrid Tomato,2310,2040,1538,2693,Stable,Medium,Low,Average,No,Medium,Yes,Zaid,Drought,3763,263,3.2,Today,2067,1990,2026-07-25
Uttar Pradesh,Varanasi,Azadpur,Cotton,PKV Rajat,9428,3416,3029,4601,Falling,Low,High,Average,Yes,Medium,No,Zaid,Normal,2630,346,4.6,Within 10 Days,3260,2951,2026-07-27
Tamil Nadu,Madurai,Nashik,Chilli,Jwala Chilli,838,6915,6160,7621,Rising,Medium,Medium,Premium,No,High,Yes,Perennial,Drought,2059,233,3.2,Within 10 Days,7271,7667,2026-07-25
Bihar,Arrah,Coimbatore,Onion,Ratnagiri Red,2656,2507,2231,2805,Falling,Medium,Medium,Premium,No,Low,No,Rabi,Flood,4504,275,3.2,Within 3 Days,2374,2139,2026-07-31
Tamil Nadu,Tirunelveli,Warangal,Cotton,Bunny Bt,501,4213,3534,4683,Falling,High,Medium,Good,No,Low,No,Zaid,Flood,4280,19,4.6,Within 3 Days,4074,3758,2026-07-29
Chhattisgarh,Durg,Belagavi,Soybean,PK-416,58,5289,4006,6399,Rising,High,Low,Good,No,Medium,No,Perennial,Flood,4193,373,4.7,Within 3 Days,5636,5820,2026-07-26
Bihar,Begusarai,Chennai,Turmeric,Salem Turmeric,5378,6548,5342,8663,Stable,High,Low,Good,Yes,Low,No,Zaid,Cold Wave,1025,89,4.4,Hold for 30 Days,6582,6725,2026-07-29
Tamil Nadu,Chennai,Mysuru,Pulses,Toor Dal,10186,7993,6252,9659,Stable,Low,Low,Premium,Yes,High,Yes,Kharif,Heatwave,2552,110,3.5,Within 10 Days,8101,8056,2026-08-01
Bihar,Katihar,Jaipur,Chilli,Mathania Chilli,234,3850,3159,5051,Falling,Medium,High,Good,No,Medium,No,Kharif,Drought,1239,55,4.1,Next Week,3575,3370,2026-08-01
Gujarat,Amreli,Karnal,Soybean,Non-GMO Soybean,3986,2493,1996,2758,Stable,Medium,High,Premium,No,High,No,Zaid,Drought,3376,66,3.1,Within 3 Days,2518,2514,2026-07-26
Tamil Nadu,Thoothukudi,Ludhiana,Cotton,Surabhi,1353,6031,4552,7545,Rising,Medium,Low,Premium,No,Medium,Yes,Rabi,Heavy Rain,4844,338,4.6,Next Week,6357,6601,2026-07-23
Tamil Nadu,Madurai,Varanasi,Sugarcane,Co-0238,738,499,377,648,Stable,High,Low,Average,No,Medium,Yes,Kharif,Drought,792,251,3.5,Next Week,505,493,2026-07-28
West Bengal,Asansol,Ahmedabad,Millet,Ragi Millet,711,1696,1297,2151,Rising,Low,Low,Premium,No,Low,No,Rabi,Heavy Rain,4435,167,4.8,Next Week,1794,1946,2026-07-26
Haryana,Rohtak,Chennai,Chilli,Kashmiri Chilli,7583,3641,3130,3934,Stable,Low,Medium,Good,Yes,High,Yes,Rabi,Heatwave,3684,289,4.8,Within 10 Days,3639,3601,2026-08-01
Bihar,Gaya,Hyderabad,Rice,MTU-1010,2803,3755,3063,4906,Stable,High,Medium,Average,Yes,Medium,Yes,Perennial,Flood,3334,103,3.9,Within 3 Days,3791,3852,2026-07-23
Chhattisgarh,Rajnandgaon,Belagavi,Maize,HQPM-1,5017,1069,808,1296,Falling,Low,High,Average,Yes,High,Yes,Rabi,Cold Wave,3544,61,4.7,Hold for 30 Days,1015,926,2026-07-30
Telangana,Rangareddy,Chennai,Soybean,Non-GMO Soybean,575,2999,2685,3952,Falling,Low,High,Average,No,High,Yes,Kharif,Drought,4665,319,3.5,Hold for 30 Days,2917,2549,2026-07-27
Telangana,Hyderabad,Coimbatore,Chilli,Mathania Chilli,1172,8675,7039,11146,Falling,High,Low,Average,Yes,Low,Yes,Zaid,Flood,3741,277,3.9,Today,8184,7664,2026-07-24
Bihar,Patna,Patna,Potato,Kufri Chipsona,3973,1449,1163,1809,Rising,High,High,Premium,Yes,High,No,Perennial,Flood,496,308,4.6,Next Week,1551,1557,2026-07-26
Punjab,Bathinda,Lucknow,Wheat,Lokwan Wheat,3302,4135,3638,5163,Stable,High,High,Average,Yes,Low,Yes,Kharif,Drought,573,198,3.6,Within 10 Days,4063,3980,2026-07-26
Maharashtra,Sangli,Jaipur,Grapes,Thompson Grapes,2825,5233,4282,6523,Falling,High,Low,Good,Yes,High,Yes,Perennial,Heavy Rain,3445,242,4.6,Hold for 30 Days,5008,4625,2026-07-23
Bihar,Patna,Salem,Millet,Ragi Millet,838,3027,2305,3914,Stable,High,High,Premium,Yes,High,No,Zaid,Drought,3748,251,4.4,Hold for 15 Days,2988,2917,2026-08-02
Maharashtra,Kolhapur,Solapur,Grapes,Flame Seedless,5911,3083,2558,3831,Rising,Medium,Low,Good,No,Low,Yes,Rabi,Cold Wave,769,126,4.0,Hold for 30 Days,3303,3367,2026-07-30
Punjab,Jalandhar,Varanasi,Maize,Yellow Maize,10992,1665,1444,2181,Falling,Medium,Low,Average,No,Low,No,Perennial,Heatwave,2992,88,3.2,Today,1581,1568,2026-07-23
Punjab,Jalandhar,Salem,Tomato,Deshi Tomato,3058,3122,2439,4206,Rising,Medium,Low,Good,Yes,Medium,Yes,Zaid,Flood,545,289,3.2,Next Week,3266,3475,2026-07-28
Maharashtra,Nashik,Belagavi,Tomato,Cherry Tomato,3637,4199,3324,4757,Falling,Medium,Low,Premium,No,High,Yes,Kharif,Heatwave,1424,199,4.3,Today,3948,3657,2026-07-26
Punjab,Bathinda,Varanasi,Banana,Dwarf Cavendish,8683,1480,1146,1967,Rising,Low,Medium,Premium,Yes,Low,No,Zaid,Heatwave,2904,311,3.9,Within 10 Days,1531,1560,2026-07-24
Andhra Pradesh,Vijayawada,Coimbatore,Pulses,Urad Dal,5418,4693,4199,6295,Falling,High,High,Good,Yes,Low,Yes,Perennial,Heatwave,831,90,4.0,Within 10 Days,4529,4164,2026-07-25
Rajasthan,Jodhpur,Indore,Banana,Nendran,7968,2286,1870,3037,Falling,Low,Medium,Average,Yes,Medium,Yes,Rabi,Cold Wave,1962,236,4.7,Hold for 15 Days,2133,2040,2026-07-27
Andhra Pradesh,Visakhapatnam,Warangal,Banana,Rasthali,397,2651,2146,3281,Falling,High,High,Good,No,Medium,No,Perennial,Drought,4130,226,3.8,Hold for 15 Days,2489,2354,2026-07-31
Rajasthan,Bikaner,Sangli,Maize,Yellow Maize,1256,916,809,1218,Stable,Low,Low,Premium,Yes,Low,Yes,Zaid,Heavy Rain,613,284,3.4,Within 3 Days,922,893,2026-07-23
West Bengal,Siliguri,Belagavi,Sugarcane,Co-13006,8948,331,292,393,Falling,Medium,High,Good,Yes,Medium,No,Rabi,Cold Wave,3556,121,3.5,Within 10 Days,308,289,2026-07-24
Bihar,Katihar,Bhopal,Turmeric,Nanded Turmeric,1445,8417,7660,10039,Falling,High,Medium,Good,No,High,Yes,Zaid,Flood,1438,300,4.7,Next Week,8220,7162,2026-07-23
West Bengal,Malda,Indore,Potato,Chandrakhi,2858,1393,1183,1717,Falling,Medium,Low,Premium,Yes,Low,Yes,Zaid,Flood,4954,327,4.6,Hold for 30 Days,1329,1238,2026-07-27
Punjab,Hoshiarpur,Pune,Pulses,Masoor Dal,7828,6894,5279,7639,Falling,High,Medium,Average,Yes,Low,Yes,Perennial,Heatwave,519,100,3.4,Hold for 15 Days,6459,6020,2026-07-23
