Disease_ID,Crop,Disease_Name,Disease_Type,Causal_Organism,Symptoms,Treatment,Organic_Control,Chemical_Control,Prevention,Favorable_Conditions,Severity,Yield_Loss_Percentage,Recommended_Fertilizer,Keywords
DIS0265,Tomato,Yellow Leaf Curl Virus,Viral,Various,Wilting,Improve drainage,Neem oil spray,Metalaxyl,Field sanitation,High humidity,Medium,18,Balanced NPK,"Tomato,Yellow Leaf Curl Virus"
DIS0266,Tomato,Yellow Leaf Curl Virus,Viral,Various,Leaf drying,Remove infected leaves,Trichoderma application,Mancozeb,Field sanitation,High humidity,Low,32,Balanced NPK,"Tomato,Yellow Leaf Curl Virus"
DIS0267,Tomato,Yellow Leaf Curl Virus,Viral,Various,Fruit rot,Apply copper-based fungicide,Trichoderma application,Carbendazim,Proper spacing,Heavy rainfall,High,10,Balanced NPK,"Tomato,Yellow Leaf Curl Virus"
DIS0268,Tomato,Yellow Leaf Curl Virus,Viral,Various,Brown spots on leaves,Apply recommended fungicide,Neem oil spray,Copper Oxychloride,Balanced fertilization,High humidity,Medium,23,Balanced NPK,"Tomato,Yellow Leaf Curl Virus"
DIS0269,Tomato,Yellow Leaf Curl Virus,Viral,Various,Wilting,Use certified seeds,Compost tea,Mancozeb,Field sanitation,Cool weather,Medium,8,Balanced NPK,"Tomato,Yellow Leaf Curl Virus"
DIS0270,Tomato,Yellow Leaf Curl Virus,Viral,Various,Fruit rot,Remove infected leaves,Garlic extract spray,Mancozeb,Field sanitation,High humidity,High,29,Balanced NPK,"Tomato,Yellow Leaf Curl Virus"
DIS0271,Tomato,Yellow Leaf Curl Virus,Viral,Various,Stem lesions,Use certified seeds,Compost tea,Mancozeb,Balanced fertilization,Heavy rainfall,High,13,Balanced NPK,"Tomato,Yellow Leaf Curl Virus"
DIS0272,Tomato,Yellow Leaf Curl Virus,Viral,Various,Stem lesions,Remove infected leaves,Neem oil spray,Metalaxyl,Field sanitation,Poor air circulation,Low,24,Balanced NPK,"Tomato,Yellow Leaf Curl Virus"
DIS0273,Tomato,Yellow Leaf Curl Virus,Viral,Various,Stem lesions,Apply recommended fungicide,Neem oil spray,Mancozeb,Balanced fertilization,High humidity,Low,42,Balanced NPK,"Tomato,Yellow Leaf Curl Virus"
DIS0274,Tomato,Yellow Leaf Curl Virus,Viral,Various,Stem lesions,Apply recommended fungicide,Compost tea,Copper Oxychloride,Balanced fertilization,Heavy rainfall,Low,15,Balanced NPK,"Tomato,Yellow Leaf Curl Virus"
DIS0275,Tomato,Yellow Leaf Curl Virus,Viral,Various,Wilting,Use certified seeds,Trichoderma application,Copper Oxychloride,Balanced fertilization,Heavy rainfall,Low,49,Balanced NPK,"Tomato,Yellow Leaf Curl Virus"
DIS0276,Tomato,Yellow Leaf Curl Virus,Viral,Various,Wilting,Use certified seeds,Garlic extract spray,Mancozeb,Disease-free seeds,High humidity,High,44,Balanced NPK,"Tomato,Yellow Leaf Curl Virus"
DIS0277,Tomato,Yellow Leaf Curl Virus,Viral,Various,Leaf drying,Apply copper-based fungicide,Trichoderma application,Mancozeb,Field sanitation,Poor air circulation,High,39,Balanced NPK,"Tomato,Yellow Leaf Curl Virus"
DIS0278,Tomato,Yellow Leaf Curl Virus,Viral,Various,White fungal growth,Avoid overhead irrigation,Garlic extract spray,Mancozeb,Proper spacing,Cool weather,Medium,15,Balanced NPK,"Tomato,Yellow Leaf Curl Virus"
DIS0279,Tomato,Yellow Leaf Curl Virus,Viral,Various,Leaf drying,Improve drainage,Neem oil spray,Carbendazim,Crop rotation,Poor air circulation,Low,52,Balanced NPK,"Tomato,Yellow Leaf Curl Virus"
DIS0280,Tomato,Yellow Leaf Curl Virus,Viral,Various,Brown spots on leaves,Avoid overhead irrigation,Neem oil spray,Mancozeb,Balanced fertilization,Cool weather,Medium,49,Balanced NPK,"Tomato,Yellow Leaf Curl Virus"
DIS0281,Tomato,Mosaic Virus,Viral,Various,Brown spots on leaves,Improve drainage,Neem oil spray,Metalaxyl,Proper spacing,Poor air circulation,Low,23,Balanced NPK,"Tomato,Mosaic Virus"
DIS0282,Tomato,Mosaic Virus,Viral,Various,Yellowing of leaves,Improve drainage,Compost tea,Carbendazim,Proper spacing,Heavy rainfall,Medium,34,Balanced NPK,"Tomato,Mosaic Virus"
DIS0283,Tomato,Mosaic Virus,Viral,Various,Stem lesions,Use certified seeds,Neem oil spray,Metalaxyl,Crop rotation,High humidity,Low,26,Balanced NPK,"Tomato,Mosaic Virus"
DIS0284,Tomato,Mosaic Virus,Viral,Various,Leaf curling,Avoid overhead irrigation,Compost tea,Chlorothalonil,Proper spacing,Heavy rainfall,High,44,Balanced NPK,"Tomato,Mosaic Virus"
DIS0285,Tomato,Mosaic Virus,Viral,Various,Fruit rot,Use certified seeds,Trichoderma application,Chlorothalonil,Disease-free seeds,High humidity,Medium,19,Balanced NPK,"Tomato,Mosaic Virus"
DIS0286,Tomato,Mosaic Virus,Viral,Various,Brown spots on leaves,Improve drainage,Compost tea,Metalaxyl,Disease-free seeds,Heavy rainfall,Low,25,Balanced NPK,"Tomato,Mosaic Virus"
DIS0287,Tomato,Mosaic Virus,Viral,Various,Leaf drying,Apply copper-based fungicide,Neem oil spray,Carbendazim,Crop rotation,Heavy rainfall,High,39,Balanced NPK,"Tomato,Mosaic Virus"
DIS0288,Tomato,Mosaic Virus,Viral,Various,Brown spots on leaves,Improve drainage,Trichoderma application,Mancozeb,Balanced fertilization,Poor air circulation,Medium,21,Balanced NPK,"Tomato,Mosaic Virus"
DIS0289,Tomato,Mosaic Virus,Viral,Various,Leaf curling,Avoid overhead irrigation,Compost tea,Mancozeb,Field sanitation,Heavy rainfall,High,44,Balanced NPK,"Tomato,Mosaic Virus"
DIS0290,Tomato,Mosaic Virus,Viral,Various,Stem lesions,Use certified seeds,Trichoderma application,Copper Oxychloride,Field sanitation,Heavy rainfall,Medium,59,Balanced NPK,"Tomato,Mosaic Virus"
DIS0291,Tomato,Mosaic Virus,Viral,Various,Wilting,Use certified seeds,Neem oil spray,Metalaxyl,Disease-free seeds,Cool weather,Medium,9,Balanced NPK,"Tomato,Mosaic Virus"
DIS0292,Tomato,Mosaic Virus,Viral,Various,Fruit rot,Improve drainage,Neem oil spray,Mancozeb,Field sanitation,Heavy rainfall,Low,9,Balanced NPK,"Tomato,Mosaic Virus"
DIS0293,Tomato,Mosaic Virus,Viral,Various,Brown spots on leaves,Avoid overhead irrigation,Trichoderma application,Copper Oxychloride,Proper spacing,High humidity,Low,26,Balanced NPK,"Tomato,Mosaic Virus"
DIS0294,Tomato,Mosaic Virus,Viral,Various,Yellowing of leaves,Avoid overhead irrigation,Garlic extract spray,Chlorothalonil,Balanced fertilization,Poor air circulation,Medium,22,Balanced NPK,"Tomato,Mosaic Virus"
DIS0295,Tomato,Mosaic Virus,Viral,Various,Fruit rot,Apply copper-based fungicide,Garlic extract spray,Chlorothalonil,Field sanitation,Poor air circulation,High,15,Balanced NPK,"Tomato,Mosaic Virus"
DIS0296,Tomato,Mosaic Virus,Viral,Various,White fungal growth,Use certified seeds,Compost tea,Mancozeb,Field sanitation,Heavy rainfall,Low,8,Balanced NPK,"Tomato,Mosaic Virus"
DIS0297,Tomato,Mosaic Virus,Viral,Various,Yellowing of leaves,Use certified seeds,Garlic extract spray,Carbendazim,Balanced fertilization,Poor air circulation,Medium,44,Balanced NPK,"Tomato,Mosaic Virus"
DIS0298,Tomato,Mosaic Virus,Viral,Various,Stem lesions,Improve drainage,Compost tea,Chlorothalonil,Proper spacing,High humidity,High,56,Balanced NPK,"Tomato,Mosaic Virus"
DIS0299,Tomato,Mosaic Virus,Viral,Various,Stem lesions,Remove infected leaves,Garlic extract spray,Chlorothalonil,Field sanitation,Heavy rainfall,High,57,Balanced NPK,"Tomato,Mosaic Virus"
DIS0300,Tomato,Mosaic Virus,Viral,Various,Stem lesions,Improve drainage,Garlic extract spray,Mancozeb,Field sanitation,High humidity,Medium,10,Balanced NPK,"Tomato,Mosaic Virus"
DIS0301,Tomato,Mosaic Virus,Viral,Various,Leaf drying,Use certified seeds,Garlic extract spray,Mancozeb,Field sanitation,Cool weather,Low,43,Balanced NPK,"Tomato,Mosaic Virus"
DIS0302,Tomato,Mosaic Virus,Viral,Various,Fruit rot,Avoid overhead irrigation,Compost tea,Mancozeb,Field sanitation,Poor air circulation,Low,17,Balanced NPK,"Tomato,Mosaic Virus"
DIS0303,Tomato,Mosaic Virus,Viral,Various,Leaf drying,Improve drainage,Trichoderma application,Carbendazim,Proper spacing,Heavy rainfall,Low,37,Balanced NPK,"Tomato,Mosaic Virus"
DIS0304,Tomato,Mosaic Virus,Viral,Various,Stem lesions,Remove infected leaves,Compost tea,Copper Oxychloride,Crop rotation,High humidity,High,25,Balanced NPK,"Tomato,Mosaic Virus"
DIS0305,Tomato,Mosaic Virus,Viral,Various,Leaf curling,Use certified seeds,Compost tea,Mancozeb,Disease-free seeds,Cool weather,Medium,28,Balanced NPK,"Tomato,Mosaic Virus"
DIS0306,Tomato,Mosaic Virus,Viral,Various,Yellowing of leaves,Improve drainage,Neem oil spray,Chlorothalonil,Field sanitation,High humidity,High,43,Balanced NPK,"Tomato,Mosaic Virus"
DIS0307,Tomato,Mosaic Virus,Viral,Various,Wilting,Apply copper-based fungicide,Garlic extract spray,Metalaxyl,Balanced fertilization,Heavy rainfall,High,25,Balanced NPK,"Tomato,Mosaic Virus"
DIS0308,Tomato,Mosaic Virus,Viral,Various,Wilting,Apply copper-based fungicide,Neem oil spray,Carbendazim,Crop rotation,Cool weather,High,18,Balanced NPK,"Tomato,Mosaic Virus"
DIS0309,Tomato,Mosaic Virus,Viral,Various,White fungal growth,Apply recommended fungicide,Trichoderma application,Mancozeb,Crop rotation,Poor air circulation,Medium,17,Balanced NPK,"Tomato,Mosaic Virus"
DIS0310,Tomato,Mosaic Virus,Viral,Various,Brown spots on leaves,Avoid overhead irrigation,Garlic extract spray,Copper Oxychloride,Disease-free seeds,Poor air circulation,Medium,54,Balanced NPK,"Tomato,Mosaic Virus"
DIS0311,Tomato,Mosaic Virus,Viral,Various,Stem lesions,Improve drainage,Garlic extract spray,Carbendazim,Proper spacing,Heavy rainfall,Medium,10,Balanced NPK,"Tomato,Mosaic Virus"
DIS0312,Tomato,Mosaic Virus,Viral,Various,Leaf curling,Apply copper-based fungicide,Garlic extract spray,Metalaxyl,Field sanitation,High humidity,High,39,Balanced NPK,"Tomato,Mosaic Virus"
DIS0313,Tomato,Mosaic Virus,Viral,Various,Leaf drying,Avoid overhead irrigation,Trichoderma application,Carbendazim,Balanced fertilization,Cool weather,High,57,Balanced NPK,"Tomato,Mosaic Virus"
DIS0314,Tomato,Mosaic Virus,Viral,Various,Yellowing of leaves,Remove infected leaves,Compost tea,Carbendazim,Balanced fertilization,High humidity,Low,6,Balanced NPK,"Tomato,Mosaic Virus"
DIS0315,Tomato,Mosaic Virus,Viral,Various,Leaf curling,Apply recommended fungicide,Garlic extract spray,Metalaxyl,Crop rotation,Heavy rainfall,Low,28,Balanced NPK,"Tomato,Mosaic Virus"
DIS0316,Tomato,Mosaic Virus,Viral,Various,Yellowing of leaves,Use certified seeds,Neem oil spray,Carbendazim,Balanced fertilization,Poor air circulation,Medium,50,Balanced NPK,"Tomato,Mosaic Virus"
DIS0317,Tomato,Mosaic Virus,Viral,Various,Yellowing of leaves,Remove infected leaves,Neem oil spray,Chlorothalonil,Proper spacing,Heavy rainfall,High,56,Balanced NPK,"Tomato,Mosaic Virus"
DIS0318,Tomato,Mosaic Virus,Viral,Various,Brown spots on leaves,Improve drainage,Trichoderma application,Carbendazim,Field sanitation,Cool weather,High,36,Balanced NPK,"Tomato,Mosaic Virus"
DIS0319,Tomato,Mosaic Virus,Viral,Various,Yellowing of leaves,Remove infected leaves,Neem oil spray,Carbendazim,Proper spacing,Cool weather,High,22,Balanced NPK,"Tomato,Mosaic Virus"
DIS0320,Tomato,Mosaic Virus,Viral,Various,Leaf curling,Use certified seeds,Trichoderma application,Metalaxyl,Field sanitation,Heavy rainfall,Medium,11,Balanced NPK,"Tomato,Mosaic Virus"
DIS0321,Potato,Late Blight,Fungal,Various,Stem lesions,Remove infected leaves,Compost tea,Metalaxyl,Crop rotation,Poor air circulation,High,55,Balanced NPK,"Potato,Late Blight"
DIS0322,Potato,Late Blight,Fungal,Various,Stem lesions,Improve drainage,Compost tea,Copper Oxychloride,Crop rotation,High humidity,High,28,Balanced NPK,"Potato,Late Blight"
DIS0323,Potato,Late Blight,Fungal,Various,Brown spots on leaves,Apply recommended fungicide,Trichoderma application,Chlorothalonil,Disease-free seeds,Cool weather,High,60,Balanced NPK,"Potato,Late Blight"
DIS0324,Potato,Late Blight,Fungal,Various,Yellowing of leaves,Remove infected leaves,Neem oil spray,Copper Oxychloride,Disease-free seeds,High humidity,Medium,32,Balanced NPK,"Potato,Late Blight"
DIS0325,Potato,Late Blight,Fungal,Various,Yellowing of leaves,Avoid overhead irrigation,Trichoderma application,Carbendazim,Crop rotation,High humidity,Medium,5,Balanced NPK,"Potato,Late Blight"
DIS0326,Potato,Late Blight,Fungal,Various,Fruit rot,Avoid overhead irrigation,Compost tea,Metalaxyl,Field sanitation,Heavy rainfall,Low,15,Balanced NPK,"Potato,Late Blight"
DIS0327,Potato,Late Blight,Fungal,Various,Fruit rot,Apply copper-based fungicide,Garlic extract spray,Carbendazim,Disease-free seeds,Cool weather,Low,29,Balanced NPK,"Potato,Late Blight"
DIS0328,Potato,Late Blight,Fungal,Various,White fungal growth,Apply recommended fungicide,Compost tea,Chlorothalonil,Field sanitation,High humidity,Medium,55,Balanced NPK,"Potato,Late Blight"
DIS0329,Potato,Late Blight,Fungal,Various,White fungal growth,Use certified seeds,Neem oil spray,Metalaxyl,Disease-free seeds,Heavy rainfall,Low,53,Balanced NPK,"Potato,Late Blight"
DIS0330,Potato,Late Blight,Fungal,Various,Leaf curling,Avoid overhead irrigation,Trichoderma application,Mancozeb,Field sanitation,Heavy rainfall,Medium,8,Balanced NPK,"Potato,Late Blight"
DIS0331,Potato,Late Blight,Fungal,Various,Fruit rot,Apply recommended fungicide,Garlic extract spray,Carbendazim,Disease-free seeds,Poor air circulation,Low,8,Balanced NPK,"Potato,Late Blight"
DIS0332,Potato,Late Blight,Fungal,Various,Fruit rot,Remove infected leaves,Compost tea,Copper Oxychloride,Proper spacing,High humidity,Low,19,Balanced NPK,"Potato,Late Blight"
DIS0333,Potato,Late Blight,Fungal,Various,Yellowing of leaves,Remove infected leaves,Trichoderma application,Metalaxyl,Crop rotation,Cool weather,Medium,36,Balanced NPK,"Potato,Late Blight"
DIS0334,Potato,Late Blight,Fungal,Various,Stem lesions,Avoid overhead irrigation,Neem oil spray,Copper Oxychloride,Crop rotation,Heavy rainfall,Medium,30,Balanced NPK,"Potato,Late Blight"
DIS0335,Potato,Late Blight,Fungal,Various,Leaf drying,Apply copper-based fungicide,Compost tea,Carbendazim,Proper spacing,High humidity,Medium,49,Balanced NPK,"Potato,Late Blight"
DIS0336,Potato,Late Blight,Fungal,Various,Fruit rot,Avoid overhead irrigation,Trichoderma application,Metalaxyl,Field sanitation,Poor air circulation,Low,12,Balanced NPK,"Potato,Late Blight"
DIS0337,Potato,Late Blight,Fungal,Various,Leaf drying,Apply copper-based fungicide,Neem oil spray,Chlorothalonil,Disease-free seeds,Cool weather,Low,60,Balanced NPK,"Potato,Late Blight"
DIS0338,Potato,Late Blight,Fungal,Various,Leaf drying,Use certified seeds,Neem oil spray,Copper Oxychloride,Balanced fertilization,Cool weather,Low,30,Balanced NPK,"Potato,Late Blight"
DIS0339,Potato,Late Blight,Fungal,Various,Stem lesions,Apply copper-based fungicide,Trichoderma application,Carbendazim,Field sanitation,Poor air circulation,Low,45,Balanced NPK,"Potato,Late Blight"
DIS0340,Potato,Late Blight,Fungal,Various,Stem lesions,Remove infected leaves,Compost tea,Mancozeb,Field sanitation,Poor air circulation,Medium,51,Balanced NPK,"Potato,Late Blight"
DIS0341,Potato,Late Blight,Fungal,Various,Leaf drying,Apply copper-based fungicide,Neem oil spray,Carbendazim,Field sanitation,Cool weather,Medium,8,Balanced NPK,"Potato,Late Blight"
DIS0342,Potato,Late Blight,Fungal,Various,White fungal growth,Use certified seeds,Trichoderma application,Metalaxyl,Proper spacing,High humidity,Low,14,Balanced NPK,"Potato,Late Blight"
DIS0343,Potato,Late Blight,Fungal,Various,Wilting,Remove infected leaves,Compost tea,Metalaxyl,Balanced fertilization,High humidity,Medium,41,Balanced NPK,"Potato,Late Blight"
DIS0344,Potato,Late Blight,Fungal,Various,Wilting,Apply recommended fungicide,Garlic extract spray,Metalaxyl,Field sanitation,Poor air circulation,High,59,Balanced NPK,"Potato,Late Blight"
DIS0345,Potato,Late Blight,Fungal,Various,Wilting,Apply recommended fungicide,Compost tea,Chlorothalonil,Balanced fertilization,High humidity,Low,34,Balanced NPK,"Potato,Late Blight"
DIS0346,Potato,Late Blight,Fungal,Various,Yellowing of leaves,Apply recommended fungicide,Compost tea,Metalaxyl,Field sanitation,Heavy rainfall,High,5,Balanced NPK,"Potato,Late Blight"
DIS0347,Potato,Late Blight,Fungal,Various,Brown spots on leaves,Apply recommended fungicide,Trichoderma application,Copper Oxychloride,Proper spacing,High humidity,Medium,46,Balanced NPK,"Potato,Late Blight"
DIS0348,Potato,Late Blight,Fungal,Various,Brown spots on leaves,Remove infected leaves,Garlic extract spray,Copper Oxychloride,Crop rotation,Heavy rainfall,Medium,46,Balanced NPK,"Potato,Late Blight"
DIS0349,Potato,Late Blight,Fungal,Various,Yellowing of leaves,Improve drainage,Trichoderma application,Carbendazim,Balanced fertilization,Cool weather,High,28,Balanced NPK,"Potato,Late Blight"
DIS0350,Potato,Late Blight,Fungal,Various,White fungal growth,Remove infected leaves,Garlic extract spray,Chlorothalonil,Disease-free seeds,Cool weather,High,8,Balanced NPK,"Potato,Late Blight"
DIS0351,Potato,Late Blight,Fungal,Various,Yellowing of leaves,Use certified seeds,Garlic extract spray,Mancozeb,Field sanitation,Heavy rainfall,Medium,16,Balanced NPK,"Potato,Late Blight"
DIS0352,Potato,Late Blight,Fungal,Various,Fruit rot,Use certified seeds,Neem oil spray,Mancozeb,Proper spacing,Heavy rainfall,Medium,38,Balanced NPK,"Potato,Late Blight"
DIS0353,Potato,Late Blight,Fungal,Various,Leaf curling,Apply recommended fungicide,Compost tea,Copper Oxychloride,Crop rotation,High humidity,Medium,33,Balanced NPK,"Potato,Late Blight"
DIS0354,Potato,Late Blight,Fungal,Various,Wilting,Apply copper-based fungicide,Neem oil spray,Metalaxyl,Disease-free seeds,High humidity,Low,12,Balanced NPK,"Potato,Late Blight"
DIS0355,Potato,Late Blight,Fungal,Various,Wilting,Apply recommended fungicide,Compost tea,Mancozeb,Proper spacing,Heavy rainfall,Low,14,Balanced NPK,"Potato,Late Blight"
DIS0356,Potato,Late Blight,Fungal,Various,Leaf drying,Use certified seeds,Garlic extract spray,Mancozeb,Balanced fertilization,Poor air circulation,Medium,40,Balanced NPK,"Potato,Late Blight"
DIS0357,Potato,Late Blight,Fungal,Various,White fungal growth,Use certified seeds,Compost tea,Mancozeb,Field sanitation,High humidity,High,37,Balanced NPK,"Potato,Late Blight"
DIS0358,Potato,Late Blight,Fungal,Various,White fungal growth,Apply recommended fungicide,Trichoderma application,Mancozeb,Proper spacing,Cool weather,Low,54,Balanced NPK,"Potato,Late Blight"
DIS0359,Potato,Late Blight,Fungal,Various,Wilting,Apply copper-based fungicide,Garlic extract spray,Copper Oxychloride,Field sanitation,Poor air circulation,Medium,37,Balanced NPK,"Potato,Late Blight"
DIS0360,Potato,Late Blight,Fungal,Various,Stem lesions,Apply recommended fungicide,Trichoderma application,Carbendazim,Balanced fertilization,Poor air circulation,High,53,Balanced NPK,"Potato,Late Blight"
DIS0361,Potato,Early Blight,Fungal,Various,Yellowing of leaves,Remove infected leaves,Neem oil spray,Mancozeb,Balanced fertilization,Cool weather,Low,24,Balanced NPK,"Potato,Early Blight"
DIS0362,Potato,Early Blight,Fungal,Various,Stem lesions,Use certified seeds,Compost tea,Copper Oxychloride,Crop rotation,Cool weather,Medium,16,Balanced NPK,"Potato,Early Blight"
DIS0363,Potato,Early Blight,Fungal,Various,Wilting,Remove infected leaves,Neem oil spray,Metalaxyl,Proper spacing,High humidity,Low,28,Balanced NPK,"Potato,Early Blight"
DIS0364,Potato,Early Blight,Fungal,Various,Leaf curling,Avoid overhead irrigation,Compost tea,Metalaxyl,Field sanitation,Cool weather,High,37,Balanced NPK,"Potato,Early Blight"
DIS0365,Potato,Early Blight,Fungal,Various,White fungal growth,Use certified seeds,Compost tea,Copper Oxychloride,Proper spacing,Poor air circulation,Medium,34,Balanced NPK,"Potato,Early Blight"
DIS0366,Potato,Early Blight,Fungal,Various,Stem lesions,Apply recommended fungicide,Neem oil spray,Chlorothalonil,Disease-free seeds,Poor air circulation,High,34,Balanced NPK,"Potato,Early Blight"
DIS0367,Potato,Early Blight,Fungal,Various,Yellowing of leaves,Improve drainage,Trichoderma application,Chlorothalonil,Crop rotation,High humidity,High,22,Balanced NPK,"Potato,Early Blight"
DIS0368,Potato,Early Blight,Fungal,Various,Yellowing of leaves,Use certified seeds,Compost tea,Mancozeb,Field sanitation,Cool weather,Medium,55,Balanced NPK,"Potato,Early Blight"
DIS0369,Potato,Early Blight,Fungal,Various,Leaf curling,Remove infected leaves,Compost tea,Mancozeb,Field sanitation,High humidity,Medium,54,Balanced NPK,"Potato,Early Blight"
DIS0370,Potato,Early Blight,Fungal,Various,Brown spots on leaves,Apply copper-based fungicide,Garlic extract spray,Mancozeb,Proper spacing,High humidity,Low,37,Balanced NPK,"Potato,Early Blight"
DIS0371,Potato,Early Blight,Fungal,Various,Leaf curling,Use certified seeds,Trichoderma application,Chlorothalonil,Disease-free seeds,Heavy rainfall,Medium,45,Balanced NPK,"Potato,Early Blight"
DIS0372,Potato,Early Blight,Fungal,Various,Fruit rot,Avoid overhead irrigation,Garlic extract spray,Mancozeb,Proper spacing,High humidity,Low,12,Balanced NPK,"Potato,Early Blight"
DIS0373,Potato,Early Blight,Fungal,Various,Brown spots on leaves,Improve drainage,Garlic extract spray,Mancozeb,Field sanitation,Poor air circulation,Low,58,Balanced NPK,"Potato,Early Blight"
DIS0374,Potato,Early Blight,Fungal,Various,Yellowing of leaves,Avoid overhead irrigation,Neem oil spray,Chlorothalonil,Balanced fertilization,Cool weather,Low,20,Balanced NPK,"Potato,Early Blight"
DIS0375,Potato,Early Blight,Fungal,Various,Leaf curling,Remove infected leaves,Compost tea,Copper Oxychloride,Disease-free seeds,High humidity,Medium,6,Balanced NPK,"Potato,Early Blight"
DIS0376,Potato,Early Blight,Fungal,Various,Fruit rot,Avoid overhead irrigation,Neem oil spray,Carbendazim,Balanced fertilization,High humidity,Medium,27,Balanced NPK,"Potato,Early Blight"
DIS0377,Potato,Early Blight,Fungal,Various,Wilting,Avoid overhead irrigation,Garlic extract spray,Carbendazim,Crop rotation,High humidity,Medium,33,Balanced NPK,"Potato,Early Blight"
DIS0378,Potato,Early Blight,Fungal,Various,Fruit rot,Use certified seeds,Garlic extract spray,Mancozeb,Field sanitation,Poor air circulation,Medium,45,Balanced NPK,"Potato,Early Blight"
DIS0379,Potato,Early Blight,Fungal,Various,Wilting,Remove infected leaves,Neem oil spray,Copper Oxychloride,Proper spacing,Cool weather,Medium,45,Balanced NPK,"Potato,Early Blight"
DIS0380,Potato,Early Blight,Fungal,Various,Fruit rot,Remove infected leaves,Trichoderma application,Copper Oxychloride,Field sanitation,Cool weather,High,24,Balanced NPK,"Potato,Early Blight"
DIS0381,Potato,Early Blight,Fungal,Various,Stem lesions,Apply recommended fungicide,Compost tea,Carbendazim,Field sanitation,Heavy rainfall,Low,19,Balanced NPK,"Potato,Early Blight"
DIS0382,Potato,Early Blight,Fungal,Various,Brown spots on leaves,Improve drainage,Compost tea,Carbendazim,Field sanitation,Poor air circulation,Medium,8,Balanced NPK,"Potato,Early Blight"
DIS0383,Potato,Early Blight,Fungal,Various,White fungal growth,Remove infected leaves,Garlic extract spray,Carbendazim,Balanced fertilization,Heavy rainfall,Low,37,Balanced NPK,"Potato,Early Blight"
DIS0384,Potato,Early Blight,Fungal,Various,Brown spots on leaves,Improve drainage,Garlic extract spray,Carbendazim,Field sanitation,Heavy rainfall,Medium,34,Balanced NPK,"Potato,Early Blight"
DIS0385,Potato,Early Blight,Fungal,Various,Leaf curling,Avoid overhead irrigation,Compost tea,Carbendazim,Balanced fertilization,Poor air circulation,Low,15,Balanced NPK,"Potato,Early Blight"
DIS0386,Potato,Early Blight,Fungal,Various,Wilting,Use certified seeds,Trichoderma application,Carbendazim,Proper spacing,Heavy rainfall,Low,5,Balanced NPK,"Potato,Early Blight"
DIS0387,Potato,Early Blight,Fungal,Various,Stem lesions,Avoid overhead irrigation,Neem oil spray,Chlorothalonil,Balanced fertilization,Cool weather,High,24,Balanced NPK,"Potato,Early Blight"
DIS0388,Potato,Early Blight,Fungal,Various,Yellowing of leaves,Avoid overhead irrigation,Garlic extract spray,Metalaxyl,Field sanitation,Cool weather,Low,31,Balanced NPK,"Potato,Early Blight"
DIS0389,Potato,Early Blight,Fungal,Various,Stem lesions,Apply recommended fungicide,Compost tea,Carbendazim,Proper spacing,High humidity,High,14,Balanced NPK,"Potato,Early Blight"
DIS0390,Potato,Early Blight,Fungal,Various,Leaf drying,Remove infected leaves,Compost tea,Carbendazim,Field sanitation,High humidity,Medium,57,Balanced NPK,"Potato,Early Blight"
DIS0391,Potato,Early Blight,Fungal,Various,White fungal growth,Apply copper-based fungicide,Garlic extract spray,Metalaxyl,Disease-free seeds,Cool weather,Low,58,Balanced NPK,"Potato,Early Blight"
DIS0392,Potato,Early Blight,Fungal,Various,Wilting,Improve drainage,Neem oil spray,Copper Oxychloride,Balanced fertilization,Cool weather,High,26,Balanced NPK,"Potato,Early Blight"
DIS0393,Potato,Early Blight,Fungal,Various,Brown spots on leaves,Avoid overhead irrigation,Neem oil spray,Copper Oxychloride,Disease-free seeds,Cool weather,Low,55,Balanced NPK,"Potato,Early Blight"
DIS0394,Potato,Early Blight,Fungal,Various,Stem lesions,Improve drainage,Neem oil spray,Copper Oxychloride,Field sanitation,Heavy rainfall,Medium,39,Balanced NPK,"Potato,Early Blight"
DIS0395,Potato,Early Blight,Fungal,Various,Stem lesions,Apply recommended fungicide,Garlic extract spray,Copper Oxychloride,Field sanitation,Cool weather,High,40,Balanced NPK,"Potato,Early Blight"
DIS0396,Potato,Early Blight,Fungal,Various,Wilting,Remove infected leaves,Garlic extract spray,Mancozeb,Crop rotation,High humidity,High,17,Balanced NPK,"Potato,Early Blight"
DIS0397,Potato,Early Blight,Fungal,Various,Stem lesions,Improve drainage,Neem oil spray,Chlorothalonil,Crop rotation,Cool weather,High,6,Balanced NPK,"Potato,Early Blight"
DIS0398,Potato,Early Blight,Fungal,Various,Leaf curling,Apply copper-based fungicide,Trichoderma application,Carbendazim,Proper spacing,High humidity,Medium,23,Balanced NPK,"Potato,Early Blight"
DIS0399,Potato,Early Blight,Fungal,Various,Fruit rot,Avoid overhead irrigation,Neem oil spray,Metalaxyl,Proper spacing,Heavy rainfall,High,43,Balanced NPK,"Potato,Early Blight"
DIS0400,Potato,Early Blight,Fungal,Various,Fruit rot,Use certified seeds,Compost tea,Carbendazim,Field sanitation,Cool weather,Low,30,Balanced NPK,"Potato,Early Blight"
DIS0401,Potato,Common Scab,Bacterial,Various,Brown spots on leaves,Remove infected leaves,Trichoderma application,Copper Oxychloride,Proper spacing,Heavy rainfall,Medium,30,Balanced NPK,"Potato,Common Scab"
