Scheme_ID,Scheme_Name,Type,State,District,Category,Crop,Min_Land_Acres,Max_Land_Acres,Income_Limit,Gender,Age_Min,Age_Max,FPO_Required,Organic_Required,Irrigation_Required,Need,Eligibility,Benefit,Subsidy,Required_Documents,Apply_At,Official_Website,Keywords
AGRI250,Horticulture Cluster Development Program - Madhya Pradesh Grapes Initiative,Horticulture Department,Madhya Pradesh,Jabalpur,Horticulture,Banana,0.0,2.0,Below ₹2.5 Lakh/year,Male & Female,21,65,Yes,No,No,Need cluster infrastructure,"Farmers residing in Jabalpur district of Madhya Pradesh, cultivating Banana, owning between 0.0 and 2.0 acres of land, registered with the state agriculture portal. Must be a member of a registered FPO/Cooperative.",Up to ₹50 lakh grant for post-harvest support,Up to ₹10 lakh,"Aadhaar Card, Land ownership document, Bank account details",State Agriculture Department Portal,https://midh.gov.in/,"banana, horticulture, madhya pradesh farmer, jabalpur, horticulture, government subsidy, agricultural support"
AGRI251,SMAM (Sub-Mission on Agricultural Mechanization) (Assam Implementation),Central Government,Assam,Cachar,Farm Mechanization,Soybean,2.0,5.0,None,Male & Female,18,60,No,No,No,Need farm machinery,"Farmers residing in Cachar district of Assam, cultivating Soybean, owning between 2.0 and 5.0 acres of land, registered with the state agriculture portal.",40% to 50% subsidy on farm implements,Interest subvention of 3%,"Aadhaar Card, Land ownership document, Bank account details, Farmer registration certificate, Crop details",PM Kisan Portal,https://agrimachinery.nic.in/,"soybean, farm mechanization, assam farmer, cachar, smam, government subsidy, agricultural support"
AGRI252,PM-KUSUM (Solar Agriculture Pumps Scheme) (West Bengal Implementation),Central Government,West Bengal,Hooghly,Irrigation,Tomato,1.0,10.0,None,Male & Female,18,70,No,No,Yes,Need irrigation support,"Farmers residing in Hooghly district of West Bengal, cultivating Tomato, owning between 1.0 and 10.0 acres of land, registered with the state agriculture portal.",Up to 60% subsidy on solar pump installation,40%,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable)",Block Development Office,https://pmkusum.mnre.gov.in/,"tomato, irrigation, west bengal farmer, hooghly, pm-kusum, government subsidy, agricultural support"
AGRI253,e-NAM (National Agriculture Market) (Uttar Pradesh Implementation),Central Government,Uttar Pradesh,Lucknow,Marketing,Soybean,0.0,2.0,None,Male & Female,18,70,Yes,No,No,Need market linkage,"Farmers residing in Lucknow district of Uttar Pradesh, cultivating Soybean, owning between 0.0 and 2.0 acres of land, registered with the state agriculture portal. Must be a member of a registered FPO/Cooperative.",Free access to online trading platform,40%,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable)",NABARD Office,https://www.enam.gov.in/,"soybean, marketing, uttar pradesh farmer, lucknow, e-nam, government subsidy, agricultural support"
AGRI254,e-NAM - West Bengal North 24 Parganas Chapter,State Government,West Bengal,North 24 Parganas,Marketing,Potato,0.0,20.0,Below ₹2.5 Lakh/year,Male & Female,21,65,Yes,No,No,Need market linkage,"Farmers residing in North 24 Parganas district of West Bengal, cultivating Potato, owning between 0.0 and 20.0 acres of land, registered with the state agriculture portal. Must be a member of a registered FPO/Cooperative.",Free access to online trading platform,Up to ₹10 lakh,"Aadhaar Card, Land ownership document, Bank account details",FPO Office,https://www.enam.gov.in/,"potato, marketing, west bengal farmer, north 24 parganas, e-nam, government subsidy, agricultural support"
AGRI255,Pradhan Mantri Matsya Sampada Yojana (PMMSY) (Rajasthan Implementation),Central Government,Rajasthan,Jaipur,Fisheries,Fisheries,0.0,2.0,Below ₹2.5 Lakh/year,Male & Female,21,60,No,No,No,Need aquaculture development,"Farmers residing in Jaipur district of Rajasthan, cultivating Fisheries, owning between 0.0 and 2.0 acres of land, registered with the state agriculture portal.",40% to 60% subsidy on fishery inputs,30%,"Aadhaar Card, Land ownership document, Bank account details",Horticulture Department Office,https://pmmsy.dof.gov.in/,"fisheries, fisheries, rajasthan farmer, jaipur, pradhan, government subsidy, agricultural support"
AGRI256,Fisheries Infrastructure Development Fund - West Bengal Fisheries Initiative,NABARD Supported,West Bengal,Burdwan,Fisheries,Fisheries,0.0,20.0,Below ₹1.5 Lakh/year,Female Only,18,65,No,No,No,Need fisheries storage and market access,"Farmers residing in Burdwan district of West Bengal, cultivating Fisheries, owning between 0.0 and 20.0 acres of land, registered with the state agriculture portal.",Interest subvention up to 3%,60%,"Aadhaar Card, Land ownership document, Bank account details",NABARD Office,https://nabard.org/,"fisheries, fisheries, west bengal farmer, burdwan, fisheries, government subsidy, agricultural support"
AGRI257,MIDH (Mission for Integrated Development of Horticulture) (Punjab Implementation),Horticulture Department,Punjab,Jalandhar,Horticulture,Potato,0.0,2.0,Below ₹5 Lakh/year,All (Priority for Women),18,65,Yes,No,No,Need horticulture support,"Farmers residing in Jalandhar district of Punjab, cultivating Potato, owning between 0.0 and 2.0 acres of land, registered with the state agriculture portal. Must be a member of a registered FPO/Cooperative.",35% to 50% subsidy on planting material,Up to ₹2 lakh,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable), Farmer registration certificate, Crop details",CSC Center,https://midh.gov.in/,"potato, horticulture, punjab farmer, jalandhar, midh, government subsidy, agricultural support"
AGRI258,PM-KUSUM (Solar Agriculture Pumps Scheme) (Maharashtra Implementation),Central Government,Maharashtra,Nagpur,Irrigation,Vegetables,1.0,25.0,Below ₹5 Lakh/year,Female Only,21,65,No,No,Yes,Need irrigation support,"Farmers residing in Nagpur district of Maharashtra, cultivating Vegetables, owning between 1.0 and 25.0 acres of land, registered with the state agriculture portal.",Up to 60% subsidy on solar pump installation,Up to ₹2 lakh,"Aadhaar Card, Land ownership document, Bank account details, Farmer registration certificate, Crop details",Block Development Office,https://pmkusum.mnre.gov.in/,"vegetables, irrigation, maharashtra farmer, nagpur, pm-kusum, government subsidy, agricultural support"
AGRI259,PM-KUSUM - Gujarat Vadodara Chapter,State Government,Gujarat,Vadodara,Irrigation,Wheat,1.0,5.0,Below ₹5 Lakh/year,Female Only,21,75,No,No,Yes,Need irrigation support,"Farmers residing in Vadodara district of Gujarat, cultivating Wheat, owning between 1.0 and 5.0 acres of land, registered with the state agriculture portal.",Up to 60% subsidy on solar pump installation,Up to ₹1 lakh,"Aadhaar Card, Land ownership document, Bank account details, Farmer registration certificate, Crop details",Horticulture Department Office,https://pmkusum.mnre.gov.in/,"wheat, irrigation, gujarat farmer, vadodara, pm-kusum, government subsidy, agricultural support"
AGRI260,Horticulture Cluster Development Program - Maharashtra Vegetables Initiative,Horticulture Department,Maharashtra,Solapur,Horticulture,Vegetables,0.0,10.0,Below ₹1.5 Lakh/year,Female Only,18,70,No,No,No,Need cluster infrastructure,"Farmers residing in Solapur district of Maharashtra, cultivating Vegetables, owning between 0.0 and 10.0 acres of land, registered with the state agriculture portal.",Up to ₹50 lakh grant for post-harvest support,Interest subvention of 3%,"Aadhaar Card, Land ownership document, Bank account details, Farmer registration certificate, Crop details",District Agriculture Office,https://midh.gov.in/,"vegetables, horticulture, maharashtra farmer, solapur, horticulture, government subsidy, agricultural support"
AGRI261,Sub-Mission on Seeds and Planting Material - Andhra Pradesh West Godavari Chapter,State Government,Andhra Pradesh,West Godavari,Subsidy,Vegetables,0.0,10.0,Below ₹2.5 Lakh/year,All (Priority for Women),21,65,No,No,No,Need quality seeds,"Farmers residing in West Godavari district of Andhra Pradesh, cultivating Vegetables, owning between 0.0 and 10.0 acres of land, registered with the state agriculture portal.",50% subsidy on certified seed distribution,75%,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable), Farmer registration certificate, Crop details",CSC Center,State Agriculture Department Portal,"vegetables, subsidy, andhra pradesh farmer, west godavari, sub-mission, government subsidy, agricultural support"
AGRI262,Fisheries Infrastructure Development Fund - Telangana Fisheries Initiative,NABARD Supported,Telangana,Nalgonda,Fisheries,Fisheries,0.0,2.0,None,Male & Female,21,70,No,No,No,Need fisheries storage and market access,"Farmers residing in Nalgonda district of Telangana, cultivating Fisheries, owning between 0.0 and 2.0 acres of land, registered with the state agriculture portal.",Interest subvention up to 3%,Premium subsidy up to 90%,"Aadhaar Card, Land ownership document, Bank account details, Farmer registration certificate, Crop details",NABARD Office,https://nabard.org/,"fisheries, fisheries, telangana farmer, nalgonda, fisheries, government subsidy, agricultural support"
AGRI263,Pradhan Mantri Matsya Sampada Yojana - Bihar Darbhanga Chapter,State Government,Bihar,Darbhanga,Fisheries,Fisheries,0.0,20.0,None,Female Only,21,65,No,No,No,Need aquaculture development,"Farmers residing in Darbhanga district of Bihar, cultivating Fisheries, owning between 0.0 and 20.0 acres of land, registered with the state agriculture portal.",40% to 60% subsidy on fishery inputs,Up to ₹10 lakh,"Aadhaar Card, Land ownership document, Bank account details",PM Kisan Portal,https://pmmsy.dof.gov.in/,"fisheries, fisheries, bihar farmer, darbhanga, pradhan, government subsidy, agricultural support"
AGRI264,MIDH (Mission for Integrated Development of Horticulture) (Odisha Implementation),Horticulture Department,Odisha,Sambalpur,Horticulture,Fruits,0.0,5.0,Below ₹5 Lakh/year,All (Priority for Women),21,75,No,No,No,Need horticulture support,"Farmers residing in Sambalpur district of Odisha, cultivating Fruits, owning between 0.0 and 5.0 acres of land, registered with the state agriculture portal.",35% to 50% subsidy on planting material,50%,"Aadhaar Card, Land ownership document, Bank account details, Farmer registration certificate, Crop details",FPO Office,https://midh.gov.in/,"fruits, horticulture, odisha farmer, sambalpur, midh, government subsidy, agricultural support"
AGRI265,AIF (Agriculture Infrastructure Fund) (Odisha Implementation),Central Government,Odisha,Balasore,Storage,Grapes,2.0,5.0,None,Female Only,18,75,Yes,No,No,Need cold storage and infrastructure,"Farmers residing in Balasore district of Odisha, cultivating Grapes, owning between 2.0 and 5.0 acres of land, registered with the state agriculture portal. Must be a member of a registered FPO/Cooperative.",3% interest subvention up to ₹2 crore,60%,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable)",District Agriculture Office,https://agriinfra.dac.gov.in/,"grapes, storage, odisha farmer, balasore, aif, government subsidy, agricultural support"
AGRI266,Sub-Mission on Seeds and Planting Material - Maharashtra Maize Initiative,Agriculture Department,Maharashtra,Ahmednagar,Subsidy,Vegetables,0.0,10.0,Below ₹1.5 Lakh/year,Female Only,21,60,No,No,No,Need quality seeds,"Farmers residing in Ahmednagar district of Maharashtra, cultivating Vegetables, owning between 0.0 and 10.0 acres of land, registered with the state agriculture portal.",50% subsidy on certified seed distribution,30%,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable), Farmer registration certificate, Crop details",State Agriculture Department Portal,State Agriculture Department Portal,"vegetables, subsidy, maharashtra farmer, ahmednagar, sub-mission, government subsidy, agricultural support"
AGRI267,RKVY-RAFTAAR (Rashtriya Krishi Vikas Yojana) (Andhra Pradesh Implementation),State Government,Andhra Pradesh,West Godavari,Subsidy,Pulses,0.0,10.0,None,Male & Female,18,70,No,No,No,Need financial assistance,"Farmers residing in West Godavari district of Andhra Pradesh, cultivating Pulses, owning between 0.0 and 10.0 acres of land, registered with the state agriculture portal.",Up to 50% project cost subsidy,60%,"Aadhaar Card, Land ownership document, Bank account details",District Agriculture Office,State Agriculture Department Portal,"pulses, subsidy, andhra pradesh farmer, west godavari, rkvy-raftaar, government subsidy, agricultural support"
AGRI268,ATMA (Agricultural Technology Management Agency) Scheme (Telangana Implementation),Agriculture Department,Telangana,Karimnagar,Skill Development,Fruits,0.0,20.0,None,Male & Female,21,75,No,No,No,Need technical training and guidance,"Farmers residing in Karimnagar district of Telangana, cultivating Fruits, owning between 0.0 and 20.0 acres of land, registered with the state agriculture portal.","Free training, exposure visits, and demonstrations",50%,"Aadhaar Card, Land ownership document, Bank account details",Block Development Office,State Agriculture Department Portal,"fruits, skill development, telangana farmer, karimnagar, atma, government subsidy, agricultural support"
AGRI269,Fisheries Infrastructure Development Fund (FIDF) (Odisha Implementation),NABARD Supported,Odisha,Cuttack,Fisheries,Fisheries,0.0,10.0,Below ₹5 Lakh/year,Female Only,21,70,No,No,No,Need fisheries storage and market access,"Farmers residing in Cuttack district of Odisha, cultivating Fisheries, owning between 0.0 and 10.0 acres of land, registered with the state agriculture portal.",Interest subvention up to 3%,Up to ₹1 lakh,"Aadhaar Card, Land ownership document, Bank account details",Horticulture Department Office,https://nabard.org/,"fisheries, fisheries, odisha farmer, cuttack, fisheries, government subsidy, agricultural support"
AGRI270,National Livestock Mission - Madhya Pradesh Dairy Initiative,Central Government,Madhya Pradesh,Ujjain,Dairy,Dairy,0.0,2.0,Below ₹2.5 Lakh/year,All (Priority for Women),21,60,Yes,No,No,Need dairy development,"Farmers residing in Ujjain district of Madhya Pradesh, cultivating Dairy, owning between 0.0 and 2.0 acres of land, registered with the state agriculture portal. Must be a member of a registered FPO/Cooperative.",50% capital subsidy for farm setup,Up to ₹5 lakh,"Aadhaar Card, Land ownership document, Bank account details, Farmer registration certificate, Crop details",Block Development Office,https://nlm.udyamimitra.in/,"dairy, dairy, madhya pradesh farmer, ujjain, national, government subsidy, agricultural support"
AGRI271,PM-KUSUM - Haryana Karnal Chapter,State Government,Haryana,Karnal,Irrigation,Sugarcane,0.0,25.0,Below ₹1.5 Lakh/year,Female Only,18,65,No,No,Yes,Need irrigation support,"Farmers residing in Karnal district of Haryana, cultivating Sugarcane, owning between 0.0 and 25.0 acres of land, registered with the state agriculture portal.",Up to 60% subsidy on solar pump installation,50%,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable)",PM Kisan Portal,https://pmkusum.mnre.gov.in/,"sugarcane, irrigation, haryana farmer, karnal, pm-kusum, government subsidy, agricultural support"
AGRI272,PMFBY (Pradhan Mantri Fasal Bima Yojana) (Telangana Implementation),Central Government,Telangana,Karimnagar,Crop Insurance,Sugarcane,0.0,10.0,Below ₹1.5 Lakh/year,All (Priority for Women),18,75,No,No,No,Need crop insurance,"Farmers residing in Karimnagar district of Telangana, cultivating Sugarcane, owning between 0.0 and 10.0 acres of land, registered with the state agriculture portal.",Premium subsidy up to 90%,Up to ₹10 lakh,"Aadhaar Card, Land ownership document, Bank account details",FPO Office,https://pmfby.gov.in/,"sugarcane, crop insurance, telangana farmer, karimnagar, pmfby, government subsidy, agricultural support"
AGRI273,Sub-Mission on Seeds and Planting Material (SMSP) (Bihar Implementation),Agriculture Department,Bihar,Patna,Subsidy,Pulses,0.0,5.0,Below ₹5 Lakh/year,All,18,65,No,No,No,Need quality seeds,"Farmers residing in Patna district of Bihar, cultivating Pulses, owning between 0.0 and 5.0 acres of land, registered with the state agriculture portal.",50% subsidy on certified seed distribution,30%,"Aadhaar Card, Land ownership document, Bank account details, Farmer registration certificate, Crop details",Horticulture Department Office,State Agriculture Department Portal,"pulses, subsidy, bihar farmer, patna, sub-mission, government subsidy, agricultural support"
AGRI274,ATMA (Agricultural Technology Management Agency) Scheme (Maharashtra Implementation),Agriculture Department,Maharashtra,Solapur,Skill Development,Rice,0.0,10.0,Below ₹2.5 Lakh/year,Male & Female,21,75,No,No,No,Need technical training and guidance,"Farmers residing in Solapur district of Maharashtra, cultivating Rice, owning between 0.0 and 10.0 acres of land, registered with the state agriculture portal.","Free training, exposure visits, and demonstrations",Up to ₹2 lakh,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable), Farmer registration certificate, Crop details",CSC Center,State Agriculture Department Portal,"rice, skill development, maharashtra farmer, solapur, atma, government subsidy, agricultural support"
AGRI275,PM-KUSUM (Solar Agriculture Pumps Scheme) (Karnataka Implementation),Central Government,Karnataka,Mysuru,Irrigation,Wheat,1.0,5.0,None,All (Priority for Women),18,70,Yes,No,Yes,Need irrigation support,"Farmers residing in Mysuru district of Karnataka, cultivating Wheat, owning between 1.0 and 5.0 acres of land, registered with the state agriculture portal. Must be a member of a registered FPO/Cooperative.",Up to 60% subsidy on solar pump installation,Up to ₹5 lakh,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable)",CSC Center,https://pmkusum.mnre.gov.in/,"wheat, irrigation, karnataka farmer, mysuru, pm-kusum, government subsidy, agricultural support"
AGRI276,"Formation and Promotion of 10,000 FPOs Scheme (Maharashtra Implementation)",FPO Support,Maharashtra,Ahmednagar,FPO Development,Pulses,0.0,2.0,Below ₹5 Lakh/year,Female Only,18,75,Yes,No,No,Need market linkage and aggregation,"Farmers residing in Ahmednagar district of Maharashtra, cultivating Pulses, owning between 0.0 and 2.0 acres of land, registered with the state agriculture portal. Must be a member of a registered FPO/Cooperative.",Up to ₹18 lakh financial support per FPO,60%,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable), Farmer registration certificate, Crop details",CSC Center,https://www.sfacindia.com/,"pulses, fpo development, maharashtra farmer, ahmednagar, formation, government subsidy, agricultural support"
AGRI277,"Formation and Promotion of 10,000 FPOs Scheme (West Bengal Implementation)",FPO Support,West Bengal,Nadia,FPO Development,Onion,0.0,20.0,None,Female Only,18,65,Yes,Yes,No,Need market linkage and aggregation,"Farmers residing in Nadia district of West Bengal, cultivating Onion, owning between 0.0 and 20.0 acres of land, registered with the state agriculture portal. Must be a member of a registered FPO/Cooperative. Must adhere to certified organic farming practices.",Up to ₹18 lakh financial support per FPO,Up to ₹2 lakh,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable), Farmer registration certificate, Crop details",CSC Center,https://www.sfacindia.com/,"onion, fpo development, west bengal farmer, nadia, formation, government subsidy, agricultural support"
AGRI278,e-NAM - Odisha Cuttack Chapter,State Government,Odisha,Cuttack,Marketing,Grapes,0.0,5.0,Below ₹1.5 Lakh/year,Male & Female,18,60,Yes,No,No,Need market linkage,"Farmers residing in Cuttack district of Odisha, cultivating Grapes, owning between 0.0 and 5.0 acres of land, registered with the state agriculture portal. Must be a member of a registered FPO/Cooperative.",Free access to online trading platform,Full subsidy for soil testing,"Aadhaar Card, Land ownership document, Bank account details",CSC Center,https://www.enam.gov.in/,"grapes, marketing, odisha farmer, cuttack, e-nam, government subsidy, agricultural support"
AGRI279,Sub-Mission on Seeds and Planting Material - Odisha Maize Initiative,Agriculture Department,Odisha,Balasore,Subsidy,Rice,0.0,2.0,Below ₹5 Lakh/year,Male & Female,21,65,No,Yes,No,Need quality seeds,"Farmers residing in Balasore district of Odisha, cultivating Rice, owning between 0.0 and 2.0 acres of land, registered with the state agriculture portal. Must adhere to certified organic farming practices.",50% subsidy on certified seed distribution,40%,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable), Farmer registration certificate, Crop details",PM Kisan Portal,State Agriculture Department Portal,"rice, subsidy, odisha farmer, balasore, sub-mission, government subsidy, agricultural support"
AGRI280,SMAM - Karnataka Shimoga Chapter,State Government,Karnataka,Shimoga,Farm Mechanization,Rice,0.0,5.0,Below ₹1.5 Lakh/year,All (Priority for Women),21,60,No,No,No,Need farm machinery,"Farmers residing in Shimoga district of Karnataka, cultivating Rice, owning between 0.0 and 5.0 acres of land, registered with the state agriculture portal.",40% to 50% subsidy on farm implements,Up to ₹1 lakh,"Aadhaar Card, Land ownership document, Bank account details",PM Kisan Portal,https://agrimachinery.nic.in/,"rice, farm mechanization, karnataka farmer, shimoga, smam, government subsidy, agricultural support"
AGRI281,PMFBY (Pradhan Mantri Fasal Bima Yojana) (Telangana Implementation),Central Government,Telangana,Nalgonda,Crop Insurance,Wheat,0.0,20.0,Below ₹2.5 Lakh/year,Female Only,21,75,No,Yes,No,Need crop insurance,"Farmers residing in Nalgonda district of Telangana, cultivating Wheat, owning between 0.0 and 20.0 acres of land, registered with the state agriculture portal. Must adhere to certified organic farming practices.",Premium subsidy up to 90%,Up to ₹2 lakh,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable), Farmer registration certificate, Crop details",PM Kisan Portal,https://pmfby.gov.in/,"wheat, crop insurance, telangana farmer, nalgonda, pmfby, government subsidy, agricultural support"
AGRI282,Sub-Mission on Seeds and Planting Material - Kerala Alappuzha Chapter,State Government,Kerala,Alappuzha,Subsidy,Maize,0.0,20.0,Below ₹2.5 Lakh/year,All (Priority for Women),21,70,No,No,No,Need quality seeds,"Farmers residing in Alappuzha district of Kerala, cultivating Maize, owning between 0.0 and 20.0 acres of land, registered with the state agriculture portal.",50% subsidy on certified seed distribution,Premium subsidy up to 90%,"Aadhaar Card, Land ownership document, Bank account details",State Agriculture Department Portal,State Agriculture Department Portal,"maize, subsidy, kerala farmer, alappuzha, sub-mission, government subsidy, agricultural support"
AGRI283,PM-KUSUM - Rajasthan Jodhpur Chapter,State Government,Rajasthan,Jodhpur,Irrigation,Wheat,2.0,10.0,Below ₹1.5 Lakh/year,All,21,65,No,No,Yes,Need irrigation support,"Farmers residing in Jodhpur district of Rajasthan, cultivating Wheat, owning between 2.0 and 10.0 acres of land, registered with the state agriculture portal.",Up to 60% subsidy on solar pump installation,Up to ₹1 lakh,"Aadhaar Card, Land ownership document, Bank account details, Farmer registration certificate, Crop details",State Agriculture Department Portal,https://pmkusum.mnre.gov.in/,"wheat, irrigation, rajasthan farmer, jodhpur, pm-kusum, government subsidy, agricultural support"
AGRI284,Cooperative Agricultural Credit Structure Scheme (Odisha Implementation),Cooperative,Odisha,Ganjam,Credit,Pulses,0.0,5.0,Below ₹5 Lakh/year,Female Only,21,70,Yes,No,No,Need short term crop credit,"Farmers residing in Ganjam district of Odisha, cultivating Pulses, owning between 0.0 and 5.0 acres of land, registered with the state agriculture portal. Must be a member of a registered FPO/Cooperative.",Low interest short term loans,40%,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable)",District Agriculture Office,State Agriculture Department Portal,"pulses, credit, odisha farmer, ganjam, cooperative, government subsidy, agricultural support"
AGRI285,PMFBY - Uttar Pradesh Pulses Initiative,Central Government,Uttar Pradesh,Lucknow,Crop Insurance,Maize,0.0,20.0,Below ₹1.5 Lakh/year,Female Only,18,70,No,No,No,Need crop insurance,"Farmers residing in Lucknow district of Uttar Pradesh, cultivating Maize, owning between 0.0 and 20.0 acres of land, registered with the state agriculture portal.",Premium subsidy up to 90%,30%,"Aadhaar Card, Land ownership document, Bank account details, Farmer registration certificate, Crop details",Horticulture Department Office,https://pmfby.gov.in/,"maize, crop insurance, uttar pradesh farmer, lucknow, pmfby, government subsidy, agricultural support"
AGRI286,Kisan Credit Card (KCC) Scheme (Kerala Implementation),NABARD Supported,Kerala,Palakkad,Credit,Soybean,0.0,10.0,None,Female Only,18,60,No,Yes,No,Need financial assistance,"Farmers residing in Palakkad district of Kerala, cultivating Soybean, owning between 0.0 and 10.0 acres of land, registered with the state agriculture portal. Must adhere to certified organic farming practices.",Concessional interest rate at 4%,60%,"Aadhaar Card, Land ownership document, Bank account details, Farmer registration certificate, Crop details",CSC Center,https://www.nabard.org/,"soybean, credit, kerala farmer, palakkad, kisan, government subsidy, agricultural support"
AGRI287,Cooperative Agricultural Credit Structure Scheme (Odisha Implementation),Cooperative,Odisha,Ganjam,Credit,Pulses,0.0,5.0,Below ₹1.5 Lakh/year,All,21,75,No,No,No,Need short term crop credit,"Farmers residing in Ganjam district of Odisha, cultivating Pulses, owning between 0.0 and 5.0 acres of land, registered with the state agriculture portal.",Low interest short term loans,40%,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable), Farmer registration certificate, Crop details",Block Development Office,State Agriculture Department Portal,"pulses, credit, odisha farmer, ganjam, cooperative, government subsidy, agricultural support"
AGRI288,PM-KUSUM (Solar Agriculture Pumps Scheme) (Andhra Pradesh Implementation),Central Government,Andhra Pradesh,Krishna,Irrigation,Wheat,1.0,25.0,Below ₹5 Lakh/year,Female Only,21,75,No,No,Yes,Need irrigation support,"Farmers residing in Krishna district of Andhra Pradesh, cultivating Wheat, owning between 1.0 and 25.0 acres of land, registered with the state agriculture portal.",Up to 60% subsidy on solar pump installation,60%,"Aadhaar Card, Land ownership document, Bank account details, Farmer registration certificate, Crop details",NABARD Office,https://pmkusum.mnre.gov.in/,"wheat, irrigation, andhra pradesh farmer, krishna, pm-kusum, government subsidy, agricultural support"
AGRI289,AIF - Kerala Onion Initiative,Central Government,Kerala,Thrissur,Storage,Tomato,2.0,5.0,Below ₹2.5 Lakh/year,Female Only,18,70,Yes,No,No,Need cold storage and infrastructure,"Farmers residing in Thrissur district of Kerala, cultivating Tomato, owning between 2.0 and 5.0 acres of land, registered with the state agriculture portal. Must be a member of a registered FPO/Cooperative.",3% interest subvention up to ₹2 crore,60%,"Aadhaar Card, Land ownership document, Bank account details, Farmer registration certificate, Crop details",NABARD Office,https://agriinfra.dac.gov.in/,"tomato, storage, kerala farmer, thrissur, aif, government subsidy, agricultural support"
AGRI290,Cooperative Agricultural Credit Structure Scheme (Rajasthan Implementation),Cooperative,Rajasthan,Jaipur,Credit,Wheat,0.0,10.0,Below ₹5 Lakh/year,All (Priority for Women),18,70,No,No,No,Need short term crop credit,"Farmers residing in Jaipur district of Rajasthan, cultivating Wheat, owning between 0.0 and 10.0 acres of land, registered with the state agriculture portal.",Low interest short term loans,Up to ₹2 lakh,"Aadhaar Card, Land ownership document, Bank account details, Farmer registration certificate, Crop details",State Agriculture Department Portal,State Agriculture Department Portal,"wheat, credit, rajasthan farmer, jaipur, cooperative, government subsidy, agricultural support"
AGRI291,"Formation and Promotion of 10,000 FPOs Scheme (Assam Implementation)",FPO Support,Assam,Jorhat,FPO Development,Fruits,0.0,2.0,Below ₹5 Lakh/year,All,21,60,Yes,No,No,Need market linkage and aggregation,"Farmers residing in Jorhat district of Assam, cultivating Fruits, owning between 0.0 and 2.0 acres of land, registered with the state agriculture portal. Must be a member of a registered FPO/Cooperative.",Up to ₹18 lakh financial support per FPO,Up to ₹1 lakh,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable)",Block Development Office,https://www.sfacindia.com/,"fruits, fpo development, assam farmer, jorhat, formation, government subsidy, agricultural support"
AGRI292,PMKSY (Pradhan Mantri Krishi Sinchayee Yojana) (Bihar Implementation),Central Government,Bihar,Darbhanga,Irrigation,Onion,1.0,5.0,Below ₹5 Lakh/year,All,21,65,No,No,Yes,Need irrigation support,"Farmers residing in Darbhanga district of Bihar, cultivating Onion, owning between 1.0 and 5.0 acres of land, registered with the state agriculture portal.",50% to 55% subsidy on drip/sprinkler,50%,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable)",Block Development Office,https://pmksy.gov.in/,"onion, irrigation, bihar farmer, darbhanga, pmksy, government subsidy, agricultural support"
AGRI293,RKVY-RAFTAAR (Rashtriya Krishi Vikas Yojana) (Haryana Implementation),State Government,Haryana,Hisar,Subsidy,Wheat,0.0,5.0,Below ₹5 Lakh/year,All,21,60,No,No,No,Need financial assistance,"Farmers residing in Hisar district of Haryana, cultivating Wheat, owning between 0.0 and 5.0 acres of land, registered with the state agriculture portal.",Up to 50% project cost subsidy,Up to ₹2 lakh,"Aadhaar Card, Land ownership document, Bank account details",District Agriculture Office,State Agriculture Department Portal,"wheat, subsidy, haryana farmer, hisar, rkvy-raftaar, government subsidy, agricultural support"
AGRI294,Soil Health Card Scheme - Assam Cachar Chapter,State Government,Assam,Cachar,Soil Improvement,Soybean,0.0,5.0,Below ₹2.5 Lakh/year,All (Priority for Women),18,70,No,No,No,Need soil health assessment,"Farmers residing in Cachar district of Assam, cultivating Soybean, owning between 0.0 and 5.0 acres of land, registered with the state agriculture portal.",Free soil testing and recommendations,Premium subsidy up to 90%,"Aadhaar Card, Land ownership document, Bank account details, Soil Health Card, Caste certificate (where applicable)",Block Development Office,https://soilhealth.dac.gov.in/,"soybean, soil improvement, assam farmer, cachar, soil, government subsidy, agricultural support"
